place,title,time,pay,date
서울 관악구, 노랑통닭 신림점,16:30~02:30,"월급2,500,000",2분전
경기 평택시, 노랑통닭 평택청북점,16:30~23:00,"시급8,590",4분전
경기 평택시, 노랑통닭 평택청북점,16:00~24:00,"월급2,300,000",4분전
서울 마포구, 노랑통닭 망원점,16:00~02:00,"월급2,700,000",5분전
광주 광산구, 노랑통닭 광주 선운점,18:00~24:00,"시급8,590",9분전
서울 관악구, 노랑통닭 서울대입구역점,18:00~01:00,"시급13,500",18분전
서울 전체, 노랑통닭 서울대입구역점,16:00~03:00,"월급2,600,000",19분전
경기 부천시, 노랑통닭 부천역점,17:00~03:00,"월급2,600,000",26분전
인천 서구, 노랑통닭 마전점,14:30~01:00,"월급2,480,000",29분전
인천 서구, 노랑통닭 마전점,14:30~01:00,"월급2,480,000",35분전
대전 중구, 노랑통닭 대전 오류점,18:00~24:30,"시급8,590",45분전
인천 미추홀, 노랑통닭 인천 주안점,19:00~24:00,"시급8,600",45분전
서울 마포구, 노랑통닭 아현점,18:00~00:00,"시급9,500",1시간전
서울 마포구, 노랑통닭 아현점,14:30~01:00,"월급2,600,000",1시간전
서울 마포구, 노랑통닭 아현점,14:30~01:00,"월급2,200,000",1시간전
강원 춘천시, 노랑통닭 남춘천점,18:00~01:00,"시급9,000",1시간전
서울 동작구, 노랑통닭 노량진점,17:00~04:00,"월급2,400,000",1시간전
서울 동작구, 노랑통닭 노량진점,17:00~04:00,"월급2,400,000",1시간전
서울 동작구, 노랑통닭 노량진점,17:00~04:00,"월급2,400,000",1시간전
서울 동작구, 노랑통닭 노량진점,18:00~00:00,"시급8,590",1시간전
서울 강남구, 노랑통닭 역삼점,15:00~02:00,"월급2,600,000",1시간전
경기 하남시, 노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",1시간전
경기 하남시, 노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",1시간전
경남 진주시, 노랑통닭 진주 초전점,18:00~24:00,"시급8,590",2시간전
서울 서초구, 노랑통닭 논현역점,18:00~23:00,"시급9,000",2시간전
서울 성동구, 노랑통닭 성수점,14:00~01:30,"월급2,600,000",2시간전
서울 강남구, 노랑통닭 논현역점,18:00~23:00,"시급9,000",2시간전
경기 수원시, 노랑통닭 망포점,17:30~23:30,"월급2,000,000",2시간전
서울 서초구, 노랑통닭 논현역점,03:30~02:00,"월급2,500,000",2시간전
강원 춘천시, 노랑통닭 춘천 후평점,15:00~01:00,"시급8,600",2시간전
경기 수원시, 노랑통닭 수원 영통점,17:00~02:00,"월급2,200,000",2시간전
경기 수원시, 노랑통닭 수원 영통점,17:00~02:00,"월급2,200,000",2시간전
서울 강북구, 노랑통닭 미아점,18:00~24:00,"시급8,800",2시간전
서울 강북구, 노랑통닭 미아점,16:00~03:00,"월급2,600,000",2시간전
서울 관악구, 노랑통닭 청림점,18:00~24:00,"시급9,000",2시간전
서울 관악구, 노랑통닭 청림점,18:00~24:00,"시급9,000",2시간전
서울 관악구, 노랑통닭 청림점,18:00~24:00,"시급9,000",2시간전
서울 강남구, 노랑통닭 역삼점,18:00~23:00,"시급8,590",2시간전
서울 관악구, 노랑통닭 청림점,18:00~24:00,"시급9,000",2시간전
경남 진주시, 노랑통닭 진주 초전점,18:00~21:00,"시급8,590",2시간전
