place,title,time,pay,date
경기 전체, (주)농협유통,08:30~17:30,"시급8,590",3시간전
서울 강동구, 농협 하나로마트 성내점,09:00~18:00,"시급9,000",5시간전
경기 용인시, 농협 하나로마트 광교점,08:00~17:00,"시급9,000",6시간전
서울 강남구, 농협유통 양재점,08:00~24:00,"시급10,000",8시간전
서울 강북구, 농협 하나로마트 미아점,09:00~17:00,"시급10,000",08/29
서울 강남구, 농협유통 양재점,08:00~05:00,"시급9,000",08/29
서울 서초구, 농협유통 양재점,08:00~05:00,"시급9,000",08/29
서울 마포구, 농협 하나로마트 성산점,09:00~18:00,"시급9,000",08/29
서울 송파구, 농협유통 방이역점,13:00~21:00,"시급9,000",08/28
서울 강동구, 농협유통 방이역점,13:00~21:00,"시급9,000",08/28
