place,title,time,pay,date
대구 동구, 신세계대구점,09:40~20:40,"월급1,950,000",14분전
대전 유성구, 대전 유성,10:30~21:30,"월급2,000,000",4시간전
서울 중구, 신세계 명동,09:50~20:00,"월급1,950,000",6시간전
광주 서구, 신세계 광주FS,09:50~21:00,"월급2,000,000",8시간전
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,000,000",08/30
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",08/29
경기 안성시, (주)대연,10:00~22:00,"월급2,050,000",08/29
경기 고양시, 고양스타필드,10:00~22:00,"월급2,050,000",08/28
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",08/25
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,000,000",08/25
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,000,000",08/24
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,000,000",08/22
인천 연수구, 나이키,10:00~22:00,"월급2,050,000",08/19
부산 해운대, 신세계 센텀,09:50~20:10,"월급1,950,000",08/17
경기 안성시, (주)대연,10:00~22:00,"월급2,050,000",08/16
대전 유성구, 대전 유성,10:30~21:30,"월급2,000,000",08/15
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",08/15
