place,title,time,pay,date
경기 여주시, (주)신세계엘앤비,13:00~21:00,"시급11,000",5분전
대구 중구, (주)신세계엘앤비,14:00~22:00,"시급11,000",9분전
부산 해운대, (주)신세계엘앤비,11:00~20:00,"시급11,000",14분전
경기 김포시, (주)신세계엘앤비,08:50~14:00,"일급52,500",53분전
경기 부천시, (주)신세계엘앤비,10:00~18:00,"일급77,000",1시간전
경기 부천시, (주)신세계엘앤비,12:00~21:00,"일급92,650",1시간전
경기 고양시, (주)신세계엘앤비,13:00~21:00,"시급11,000",2시간전
경기 김포시, (주)신세계엘앤비,13:00~21:00,"시급11,000",2시간전
경기 고양시, (주)신세계엘앤비,13:00~21:00,"시급11,000",2시간전
광주 전체, (주)신세계엘앤비,12:00~20:00,"시급11,000",4시간전
서울 강남구, (주)신세계엘앤비,10:30~20:30,"시급11,000",5시간전
서울 강남구, (주)신세계엘앤비,10:30~20:30,"시급11,000",5시간전
서울 구로구, (주)신세계엘앤비,13:00~22:00,"일급92,650",6시간전
경기 수원시, (주)신세계엘앤비,12:00~21:00,"일급92,650",6시간전
경북 경산시, (주)신세계엘앤비,12:00~21:00,"일급92,650",7시간전
강원 강릉시, (주)신세계엘앤비,12:00~21:00,"일급92,650",7시간전
서울 용산구, (주)신세계엘앤비,10:30~20:30,"시급11,000",7시간전
서울 중구, (주)신세계엘앤비,10:30~20:30,"시급11,000",7시간전
서울 종로구, (주)신세계엘앤비,10:30~20:30,"시급11,000",7시간전
서울 서초구, (주)신세계엘앤비,12:00~20:00,"시급11,000",7시간전
서울 강남구, (주)신세계엘앤비,10:30~20:30,"시급11,000",7시간전
서울 강남구, (주)신세계엘앤비,10:30~20:30,"시급11,000",7시간전
경기 용인시, (주)신세계엘앤비,12:00~20:00,"시급11,000",7시간전
경기 용인시, (주)신세계엘앤비,10:30~20:30,"일급92,650",7시간전
경기 수원시, (주)신세계엘앤비,10:00~22:00,"시급11,000",7시간전
경기 용인시, (주)신세계엘앤비,10:00~22:00,"시급11,000",7시간전
경기 성남시, (주)신세계엘앤비,10:00~22:00,"시급11,000",7시간전
서울 강남구, (주)신세계엘앤비,13:00~21:00,"시급11,000",7시간전
서울 중구, (주)신세계엘앤비,13:00~21:00,"시급11,000",7시간전
경기 이천시, (주)신세계엘앤비,13:00~21:00,"시급11,000",7시간전
경기 성남시, (주)신세계엘앤비,10:00~22:00,"시급11,000",8시간전
경기 용인시, (주)신세계엘앤비,10:00~22:00,"시급11,000",8시간전
경기 용인시, (주)신세계엘앤비,10:30~20:30,"일급92,650",08/29
경기 고양시, (주)신세계엘앤비,13:00~21:00,"시급11,000",08/28
경기 고양시, (주)신세계엘앤비,13:00~21:00,"시급11,000",08/28
경기 여주시, (주)신세계엘앤비,13:00~21:00,"시급11,000",08/28
경기 용인시, (주)신세계엘앤비,12:00~20:00,"시급11,000",08/23
