place,title,time,pay,date
서울 서초구, 커피나무 방배카페골목점,19:00~23:00,"시급8,590",08/28
서울 서초구, 커피나무 방배카페골목점,19:00~23:00,"시급8,590",08/28
서울 서초구, 커피나무 방배카페골목점,19:00~23:00,"시급8,590",08/28
서울 서초구, 커피나무 방배카페골목점,19:00~23:00,"시급8,590",08/28
서울 서대문, 커피나무 명지대점,12:00~18:00,"시급8,590",08/28
서울 서대문, 커피나무 명지대점,12:00~18:00,"시급8,590",08/28
서울 서대문, 커피나무 명지대점,12:00~18:00,"시급8,590",08/28
서울 서대문, 커피나무 명지대점,12:00~18:00,"시급8,590",08/28
서울 동작구, 커피나무 노량진학원점,20:30~22:30,"시급8,590",08/23
서울 동작구, 커피나무 노량진학원점,20:30~22:30,"시급8,590",08/23
서울 동작구, 커피나무 노량진학원점,20:30~22:30,"시급8,590",08/23
서울 동작구, 커피나무 노량진학원점,20:30~22:30,"시급8,590",08/23
서울 중구, 커피나무 약수역점,19:00~24:00,"시급8,590",08/23
서울 중구, 커피나무 약수역점,19:00~24:00,"시급8,590",08/23
서울 중구, 커피나무 약수역점,19:00~24:00,"시급8,590",08/23
서울 중구, 커피나무 약수역점,19:00~24:00,"시급8,590",08/23
서울 서초구, 커피나무 방배카페골목점,19:00~23:00,"시급8,590",08/23
서울 서초구, 커피나무 방배카페골목점,19:00~23:00,"시급8,590",08/23
서울 서초구, 커피나무 방배카페골목점,19:00~23:00,"시급8,590",08/23
서울 서초구, 커피나무 방배카페골목점,19:00~23:00,"시급8,590",08/23
