place,title,time,pay,date
부산 연제구, 홍대개미 홈플 러스 아사아드점,10:00~15:00,"시급8,590",7분전
서울 동대문, 홍대개미청량리역사점,10:00~20:00,"월급2,100,000",23분전
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,800,000",1시간전
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,800,000",2시간전
서울 동대문, 홍대개미 청량리역사점,10:00~20:00,"월급2,100,000",3시간전
서울 동대문, 홍대개미청량리역사점,10:00~20:00,"월급2,100,000",3시간전
경기 의정부, 홍대개미 신세계의정부점,09:00~19:00,"월급1,800,000",08/29
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,800,000",08/29
서울 전체, 홍대개미 공덕점,09:00~19:00,"월급1,800,000",08/28
서울 강남구, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",08/28
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,800,000",08/28
서울 전체, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",08/27
서울 전체, 홍대개미 공덕점,10:00~14:00,"시급8,590",08/24
서울 전체, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",08/24
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~21:00,"월급1,800,000",08/23
경기 평택시, 홍대개미 스타필드 안성점,09:00~19:00,"월급2,100,000",08/23
서울 전체, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",08/22
서울 전체, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",08/22
서울 전체, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",08/22
서울 전체, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",08/22
경기 안성시, 홍대개미 스타필드 안성점,09:00~19:00,"월급2,100,000",08/21
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~21:00,"월급1,800,000",08/21
서울 전체, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",08/21
경기 평택시, 홍대개미 스타필드 안성점,09:00~19:00,"월급2,100,000",08/20
서울 전체, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",08/19
경기 평택시, 홍대개미 스타필드 안성점,09:00~19:00,"월급2,100,000",08/18
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~21:00,"월급1,800,000",08/18
서울 전체, 홍대개미 공덕점,10:00~14:00,"시급8,590",08/17
