place,title,time,pay,date
세종 전체, 7번가피자 세종(청사)점,17:00~23:00,"시급10,000",1분전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"주급700,000",21분전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"월급3,000,000",22분전
경기 성남시, 7번가피자 미금점,11:00~21:00,"시급8,600",24분전
서울 노원구, 7번가 피자 공릉점,12:00~20:00,"시급8,590",47분전
인천 서구, 7번가피자검단점,18:00~23:00,"시급8,590",1시간전
세종 전체, 7번가피자 세종(청사)점,11:00~23:30,"시급10,000",1시간전
경기 고양시, 7번가피자 화정점,17:30~10:30,"시급9,500",2시간전
서울 성동구, 7번가피자한양대점,11:00~23:00,"시급11,000",2시간전
대전 전체, 7번가피자 관저점,15:30~20:00,"시급9,500",2시간전
경기 고양시, 7번가피자 화정점,17:30~10:30,"시급9,500",2시간전
경기 용인시, 7번가피자 수지점,11:00~22:00,"월급2,300,000",3시간전
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",3시간전
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",3시간전
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",3시간전
서울 구로구, 패스트앤베스트,11:00~24:00,"월급3,000,000",3시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",4시간전
부산 해운대, 7번가피자 송정점,11:00~22:00,"시급8,590",4시간전
경기 용인시, 7번가피자 동백점,18:00~21:00,"시급8,700",4시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",4시간전
경기 수원시, 7번가피자 정자점,18:00~23:00,"시급8,590",4시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"월급3,000,000",5시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"주급700,000",5시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"주급600,000",5시간전
경기 부천시, 7번가피자 범박점,11:00~23:00,"월급2,500,000",5시간전
서울 동대문, 7번가피자 장안점,14:00~23:00,"시급8,590",5시간전
대구 북구, 7번가피자 칠곡점,18:00~23:00,"시급9,200",6시간전
대구 북구, 7번가피자 칠곡점,11:00~23:00,"월급2,200,000",6시간전
부산 해운대, 7번가피자 송정점,11:00~22:00,"시급8,590",7시간전
대구 수성구, 7번가 피자 만촌점,16:00~20:00,"시급8,590",7시간전
경기 용인시, 7번가피자 수지점,11:00~22:00,"월급2,300,000",7시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",7시간전
강원 원주시, 7번가피자 기업도시점,18:00~21:00,"시급8,600",7시간전
경기 용인시, 7번가피자 수지점,11:00~22:00,"월급2,300,000",7시간전
서울 동대문, 7번가피자 장안점,14:00~23:00,"시급8,590",8시간전
세종 전체, 7번가피자 세종(청사)점,11:00~23:00,"시급10,000",8시간전
경기 고양시, 7번가피자 마두역점,10:50~22:20,"월급2,600,000",08/30
서울 마포구, 7번가피자,11:00~23:00,"연봉30,000,000",08/30
대전 서구, 7번가피자 만년점,11:00~23:00,"시급9,000",08/29
전남 순천시, 7번가피자 순천오천점,18:00~22:00,"시급8,590",08/29
