place,title,time,pay,date
경기 평택시, 이차돌 평택소사벌점,11:30~18:00,"월급1,250,000",26분전
경기 하남시, 피굽남피자-하남점,03:00~23:00,"시급9,500",26분전
강원 강릉시, 강릉유환식당,10:00~21:30,"월급2,300,000",26분전
울산 남구, 샌드리아 무거점,14:00~00:00,"시급8,590",1시간전
대구 중구, 미츠팡,16:00~02:00,"시급8,590",1시간전
서울 강서구, 치킨이즈백,15:00~21:00,"시급9,000",1시간전
경남 창원시, 존가네,05:00~10:00,"시급8,600",2시간전
경기 용인시, 이차돌 용인역북명지대점,18:00~22:00,"시급9,000",2시간전
경남 양산시, 뽀골뽀골돼지고기전문점,17:30~20:00,"시급8,590",2시간전
부산 남구, 유일한식탁,16:00~22:00,"시급8,590",2시간전
서울 송파구, 미분당 송파점,17:00~21:30,"시급9,000",2시간전
서울 송파구, 미분당 송파점,10:30~15:00,"시급9,000",2시간전
경기 평택시, 용궁,11:00~20:00,"시급10,000",3시간전
부산 남구, 유일한식탁,10:00~22:00,"월급2,100,000",3시간전
전남 강진군, 케냐에스프레소 강진점,09:00~22:00,"시급8,590",3시간전
경남 창원시, 스시혼마산점,10:00~14:00,"시급8,590",3시간전
경기 평택시, 누나홀닭동삭자이점,18:30~22:00,"시급8,590",4시간전
경기 수원시, 런(Run),시간협의,"월급5,000,000",4시간전
경기 수원시, 런(Run),11:00~01:00,"건별3,500",4시간전
경기 평택시, 이차돌 평택소사벌점,11:30~18:00,"월급1,250,000",4시간전
대구 달서구, 생각대로용산점,10:00~24:00,"월급3,500,000",4시간전
경기 시흥시, 호남한식뷔페,17:00~20:00,"시급9,500",4시간전
경기 안양시, 에듀팜,22:00~08:00,"월급2,800,000",5시간전
강원 평창군, 1975영계국수The등심,11:00~23:00,"월급2,300,000",5시간전
대구 달서구, 생각대로용산점,10:00~24:00,"월급3,500,000",5시간전
경기 전체, 도깨비구제&구제명품샵,10:00~20:00,"시급8,590",5시간전
경기 남양주, 푸라닭 도농역점,18:00~00:30,"시급9,000",5시간전
울산 남구, 룰루랄라(LULUlala),15:00~22:00,"시급8,590",6시간전
경기 광주시, 명신사,08:00~18:00,"월급1,795,310",6시간전
서울 동대문, 주)가평상사,07:00~10:30,"월급700,000",6시간전
경기 전체, 예술회관,01:00~01:00,"월급2,500,000",6시간전
서울 서대문, 신촌 엘스터디카페,10:30~22:30,"시급8,590",6시간전
제주 제주시, 일사천리제주익스프레스,08:00~18:00,"월급1,795,310",6시간전
서울 전체, 봉타이,19:00~07:00,"월급2,100,000",6시간전
제주 제주시, 포스콤,10:00~19:00,"시급8,590",6시간전
서울 전체, 봉타이,19:00~07:00,"월급2,100,000",7시간전
경남 창원시, 바라바,20:00~03:00,"시급15,000",7시간전
부산 기장군, 스시조우정관점,06:00~10:00,"시급8,590",7시간전
서울 강서구, 우리부모 노인재가복지센터,시간협의,"시급10,850",7시간전
대전 전체, 모두팜스,14:00~18:00,"시급9,000",10시간전
