place,title,time,pay,date
대구 달서구, CU 성서주공4단지점,22:00~08:00,"시급8,590",1분전
경기 평택시, CU E평택휴게소평택방향,22:00~08:00,"시급10,000",1분전
경기 평택시, CU 팽성수지점,15:00~22:00,"시급8,590",1분전
인천 계양구, CU 병방서원점,23:00~07:00,"시급8,590",1분전
경기 화성시, CU 동탄푸르지오점,17:00~24:00,"시급8,590",1분전
경북 경주시, CU 안강이안점,22:00~08:00,"시급8,590",1분전
경기 용인시, CU 수지성복점,07:00~19:00,"시급8,600",1분전
대전 대덕구, CU 대전중리점,00:00~08:00,"시급8,590",1분전
울산 남구, CU 울산두왕점,16:00~22:00,"시급8,590",1분전
경기 수원시, CU 수원메디프라자점,23:00~08:00,"시급8,590",2분전
부산 사하구, CU 당리해마루점,23:00~07:00,"시급8,590",2분전
경기 김포시, CU 김포본점,22:00~08:00,"시급8,590",2분전
경북 포항시, CU 포항메트로2호점,20:00~01:00,"시급8,590",2분전
경기 구리시, CU 구리돌다리점,17:00~23:00,"시급8,590",2분전
경북 구미시, CU 구미형곡사거리점,00:00~06:00,"시급8,590",3분전
서울 광진구, CU 아차산입구점,15:00~01:00,"시급8,590",3분전
서울 관악구, CU 관악고시촌점,08:00~15:00,"시급8,590",4분전
대전 서구, CU 용문프라임점,10:00~10:00,"시급8,590",4분전
강원 강릉시, CU 알펜시아리조트1호점,22:00~09:00,"월급722,400",4분전
인천 미추홀, CU 주안부성파인점,00:00~08:00,"시급8,590",4분전
부산 남구, CU 용당오거리점,07:00~15:00,"시급8,590",4분전
서울 서초구, CU 반포서래타운점,22:00~07:00,"시급8,700",4분전
대구 서구, CU 평리푸르지오점,07:00~13:00,"시급8,590",4분전
서울 양천구, CU 목동1단지점,24:00~09:00,"시급8,590",5분전
충북 청주시, CU 청주봉명대로점,07:00~13:00,"시급8,590",5분전
경기 남양주, CU 도농사랑점,16:00~23:00,"시급8,590",5분전
서울 전체, CU 방학렉시온점,23:00~06:00,"시급8,600",5분전
충남 천안시, CU 천안법조점,15:00~17:00,"시급8,590",6분전
경남 창원시, CU 용원학원점,22:00~07:00,"시급8,590",6분전
서울 전체, CU 부영태평점,14:00~20:00,"시급8,800",7분전
경기 용인시, CU 용인청덕점,22:00~01:00,"시급8,590",8분전
대구 서구, CU 비산북부점,23:00~08:00,"시급8,590",8분전
서울 양천구, CU 목동1단지점,24:00~09:00,"시급8,590",9분전
대전 서구, CU 대전용문스타점,23:00~08:00,"시급8,590",10분전
강원 춘천시, CU 춘천후평세실점,00:00~08:00,"시급8,590",10분전
서울 용산구, CU 신용산점,18:00~22:00,"시급8,590",11분전
경기 수원시, CU 신규점,24:00~08:00,"시급8,590",12분전
제주 서귀포, CU 제주풍림리조트점,16:00~24:00,"시급9,564",12분전
서울 중구, CU 중구신당점,22:00~08:00,"시급8,590",13분전
경기 남양주, CU 진접휴먼시아점,16:00~22:00,"시급8,590",14분전
