place,title,time,pay,date
대구 수성구, (주)지에스리테일랄라블라대구시지점,10:00~13:30,"시급8,590",13분전
서울 성북구, GS리테일 H&B /고대점,17:00~20:00,"시급8,590",31분전
서울 관악구, GS리테일 H&B사업부문 랄라블라,09:00~12:00,"시급8,590",48분전
전북 전주시, GS리테일 H&B / 전북도청점,17:30~22:00,"시급8,590",1시간전
광주 서구, 랄라블라 상무중앙로점,13:00~17:30,"시급8,590",3시간전
서울 서초구, GS리테일 H&B / 양재역점,17:00~20:00,"시급8,590",3시간전
경기 수원시, (주)지에스리테일 랄라블라 수원AK점,15:30~21:00,"시급8,590",4시간전
전남 여수시, (주)지에스리테일 랄라블라여수충무점,10:00~16:00,"시급8,590",4시간전
충북 청주시, (주)지에스리테일,18:00~21:00,"시급8,590",08/28
경기 광명시, GS리테일 랄라블라 철산점,18:00~21:00,"시급8,590",08/28
전남 여수시, (주)지에스리테일,10:00~14:30,"시급8,590",08/28
서울 금천구, GS리테일 랄라블라 독산점,12:00~15:30,"시급8,590",08/27
경기 화성시, (주)지에스리테일 랄라블라동탄점,17:00~21:30,"시급8,590",08/22
전남 여수시, (주)지에스리테일,10:00~14:30,"시급8,590",08/20
서울 중구, GS리테일 H&B,12:00~15:30,"시급8,590",08/16
