place,title,time,pay,date
서울 구로구, 구로디지털2,15:00~22:00,"시급8,590",4분전
전남 목포시, 목포이마트,16:00~22:30,"시급8,590",29분전
울산 남구, 울산현대,18:00~24:00,"시급8,590",31분전
서울 서초구, KFC 강남역점,11:30~17:00,"시급8,590",1시간전
경기 성남시, 정자역,18:00~24:30,"시급8,590",2시간전
경기 의정부, KFC 의정부HP,13:00~23:00,"시급8,590",2시간전
서울 송파구, 석촌역,18:00~24:00,"시급8,590",2시간전
충남 아산시, 아산터미널,16:00~22:30,"시급8,590",3시간전
경기 수원시, 수원인계DT,18:00~24:00,"시급8,590",3시간전
서울 서초구, KFC 강남역점,17:00~23:30,"시급8,590",3시간전
서울 서초구, KFC 강남역점,11:30~17:00,"시급8,590",3시간전
경기 김포시, 김포,18:00~23:30,"시급8,590",3시간전
대구 수성구, 황금동,00:00~24:00,"시급8,590",4시간전
대전 서구, 대전시청역,19:00~02:00,"시급8,590",4시간전
서울 중랑구, 사가정,08:00~03:00,"시급8,590",4시간전
서울 중랑구, 사가정,08:00~03:00,"시급8,590",4시간전
경기 고양시, 일산장항,09:00~24:00,"시급8,590",08/29
경기 안양시, KFC 안양일번가,18:00~01:00,"시급8,590",08/29
경기 군포시, 안양호계,09:00~24:00,"시급8,590",08/29
경기 군포시, KFC 안양일번가,09:00~24:00,"시급8,590",08/29
경기 고양시, 일산장항,09:00~24:00,"시급8,590",08/28
대전 유성구, KFC 노은역,17:00~24:00,"시급8,590",08/28
경기 성남시, 분당정자,09:30~23:00,"시급8,590",08/28
경기 안양시, KFC 안양일번가,18:00~01:00,"시급8,590",08/28
경기 안양시, KFC 안양일번가,18:00~01:00,"시급8,590",08/27
경기 성남시, 분당정자,09:30~23:00,"시급8,590",08/27
경기 성남시, 분당정자,09:30~23:00,"시급8,590",08/27
서울 강남구, 학동역,18:00~02:00,"시급8,590",08/27
경기 고양시, 일산장항,09:00~24:00,"시급8,590",08/26
경북 포항시, 포항양덕DT,09:00~24:00,"시급8,590",08/26
전국 전체, 보라매,17:00~24:30,"시급8,590",08/26
경기 의정부, KFC 의정부HP,17:00~23:00,"시급8,590",08/25
울산 동구, KFC 울산명덕,19:00~23:00,"시급8,590",08/24
서울 서초구, 강남고속터미널,18:00~01:00,"시급8,590",08/24
서울 강서구, 우장산역,09:00~24:00,"시급8,590",08/24
서울 강서구, 우장산역,09:00~24:00,"시급8,590",08/24
경기 양주시, KFC 양주고읍,18:00~23:00,"시급8,590",08/23
경기 성남시, 서현역,00:00~24:00,"시급8,590",08/23
대구 북구, KFC 침산네거리,09:00~24:00,"시급8,590",08/23
대구 북구, KFC 침산네거리,09:00~24:00,"시급8,590",08/23
