place,title,time,pay,date
경북 포항시, 태성주유소,09:00~19:00,"월급2,100,000",1시간전
경북 김천시, 율곡행복주유소,10:00~20:30,"월급3,000,000",2시간전
부산 동구, 동방석유(주) 형제주유소,19:00~07:00,"시급8,590",3시간전
서울 서초구, 대신석유(주)대우주유소,18:00~24:00,"월급2,600,000",3시간전
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,250,000",6시간전
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,250,000",6시간전
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,250,000",6시간전
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,250,000",6시간전
경기 오산시, KH에너지(주)직영 오산주유소(동탄),09:00~19:00,"월급2,949,000",6시간전
경기 안산시, (주)대한석유한대역주유소,10:00~20:00,"월급2,600,000",7시간전
경기 오산시, KH에너지(주)직영 오산주유소(동탄),09:00~19:00,"월급2,949,000",08/30
광주 남구, sk 월드컵주유소,13:00~19:00,"시급8,590",08/30
경기 수원시, 삼성단지주유소,13:00~23:00,"시급8,590",08/30
서울 양천구, 동일석유(주)개나리 주유소,09:30~17:30,"시급8,590",08/29
서울 관악구, 한규상사유정주유소,16:00~21:00,"시급8,590",08/29
서울 양천구, 에이치지에너지 가로공원주유소,11:00~19:00,"시급8,590",08/29
경기 오산시, KH에너지(주)직영 오산주유소(동탄),09:00~19:00,"월급2,949,000",08/29
경기 오산시, KH에너지(주)직영 오산주유소(과천),09:00~19:00,"월급2,949,000",08/29
경북 포항시, 북포항주유소,09:00~19:00,"시급8,590",08/28
경기 안산시, (주)대한석유한대역주유소,10:00~20:00,"월급2,600,000",08/28
광주 북구, 첨단북광주IC주유소,06:00~13:00,"시급8,590",08/28
경기 오산시, KH에너지(주)직영 오산주유소(과천),09:00~19:00,"월급2,949,000",08/28
서울 강동구, sk해뜨는 셀프 주유소,10:00~20:00,"월급2,300,000",08/28
경기 수원시, 삼성단지주유소,13:00~23:00,"시급8,590",08/28
전국 전체, sk항만주유소,05:00~14:00,"월급2,100,000",08/27
대구 달성군, 늘푸른주유소,08:30~19:30,"시급8,600",08/27
전남 순천시, 시장주유소,07:00~13:00,"월급1,300,000",08/27
대전 유성구, SK에너지 황제주유소/황제충전소,07:00~19:00,"월급2,300,000",08/27
서울 관악구, 한규상사유정주유소,16:00~21:00,"시급8,590",08/27
대구 동구, 국제주유소,08:00~19:00,"시급8,590",08/26
경북 포항시, 미소주유소,09:00~19:00,"월급2,100,000",08/26
경북 포항시, 태성주유소,09:00~19:00,"월급2,100,000",08/26
경기 고양시, sk섬마을주유소,06:00~22:00,"시급9,300",08/25
경북 경산시, SK에너지 와촌IC주유소,08:00~19:00,"시급8,590",08/25
서울 영등포, SK행촌주유소,06:00~14:00,"시급9,600",08/25
대전 유성구, SK에너지 황제주유소/황제충전소,07:00~19:00,"월급2,300,000",08/25
경기 수원시, 삼성단지주유소,13:00~23:00,"시급8,590",08/25
광주 남구, sk 월드컵주유소,08:00~13:00,"시급8,590",08/25
경기 광주시," 오포주유소,충전소",15:00~24:00,"월급2,100,000",08/24
경기 수원시, (주)디오티디 수원햄스터주유소,05:00~24:00,"월급2,400,000",08/24
