place,title,time,pay,date
경기 용인시, 자연드림 수지풍덕천점,16:00~20:00,"시급10,000",1분전
대구 수성구, 자연드림 대구대봉교점,07:00~09:00,"시급10,000",4분전
광주 광산구, 자연드림 광주수완2호점,16:00~20:30,"시급10,000",9분전
광주 북구, 자연드림 광주일곡점,06:00~08:00,"시급10,000",43분전
경기 고양시, 자연드림 덕양화정점,08:00~15:00,"시급10,000",46분전
인천 강화군, 자연드림 강화갑곶점,08:00~14:30,"시급10,000",48분전
경기 시흥시, 자연드림 시흥대야점,08:00~11:00,"시급10,000",49분전
경기 시흥시, 자연드림 시흥대야점,08:00~11:00,"시급10,000",50분전
강원 원주시, (주)쿱스토어강원 원주혁신점,07:00~10:00,"시급10,000",2시간전
경기 안산시, 고잔점(자연드림),08:00~10:00,"시급10,000",2시간전
전남 나주시, 자연드림 나주 혁신점,15:00~21:00,"시급10,000",2시간전
광주 남구, 자연드림 일곡점,08:00~15:00,"시급10,000",3시간전
인천 연수구, 인천송도점(자연드림),07:00~09:00,"시급12,000",4시간전
전남 구례군, 자연드림 구례 자연드림파크점,08:30~15:30,"시급9,400",4시간전
경기 광명시, 자연드림 광명소하점,09:00~15:00,"시급10,000",4시간전
전남 여수시, iCOOP,08:00~15:00,"시급10,000",4시간전
전남 여수시, iCOOP,18:00~22:00,"시급10,000",4시간전
경북 포항시, 자연드림 포항두호점,07:30~09:30,"시급10,000",4시간전
전남 화순군, 자연드림 화순점,09:00~11:00,"시급10,000",5시간전
부산 동래구, 자연드림 명륜점,08:00~12:30,"시급10,000",5시간전
세종 고운동, 세종 고운점(자연드림),08:00~14:30,"시급10,000",7시간전
광주 광산구, 자연드림 광주수완2호점,16:00~20:30,"시급10,000",7시간전
충북 청주시, 자연드림 대전충청 금천점,07:00~09:00,"시급10,000",7시간전
경기 고양시, 자연드림 덕양화정점,07:00~10:00,"시급10,000",7시간전
부산 수영구, 자연드림 부산 수영점,10:00~19:00,"연봉27,000,000",7시간전
부산 해운대, 자연드림 부산 해운대마린시티점,09:00~18:00,"연봉27,000,000",7시간전
부산 강서구, 자연드림 부산 명지점,08:00~15:00,"시급10,000",7시간전
부산 남구, 자연드림 부산 용호점,08:00~15:00,"시급10,000",7시간전
경기 오산시, 평택오산점(자연드림),08:00~10:00,"시급10,000",8시간전
대구 수성구, 자연드림 대구대봉교점,09:00~18:00,"연봉27,500,000",8시간전
전북 남원시, 자연드림 남원도통점,08:00~10:00,"시급10,000",8시간전
경북 포항시, 자연드림 포항두호점,10:00~19:00,"연봉27,500,000",8시간전
전남 광양시, iCOOP,08:30~14:30,"시급10,000",9시간전
전남 여수시, iCOOP,08:00~15:00,"시급10,000",9시간전
인천 강화군, 자연드림 강화갑곶점,08:00~14:30,"시급10,000",08/30
경기 시흥시, 자연드림 시흥대야점,08:00~11:00,"시급10,000",08/30
인천 부평구, 인천산곡점(자연드림),10:00~19:00,"연봉25,800,000",08/30
경기 고양시, 자연드림 덕양화정점,07:00~10:00,"시급10,000",08/30
경기 고양시, 자연드림 덕양화정점,08:00~15:00,"시급10,000",08/30
충남 서산시, 자연드림 대전충청 서산예천점,15:30~21:00,"시급10,000",08/30
