place,title,time,pay,date
전북 군산시, 교촌치킨 나운1호,18:00~24:00,"시급8,600",1분전
경기 용인시, 교촌치킨 보라,17:00~24:30,"시급9,000",1분전
경기 수원시, 교촌치킨 수원 탑동,05:00~24:00,"시급8,590",2분전
경기 부천시, 교촌치킨 옥길점,18:00~01:00,"시급8,600",4분전
서울 강서구, 교촌치킨 까치산역,17:00~04:00,"월급3,300,000",6분전
서울 영등포, 교촌치킨 영등포역점,17:00~04:00,"월급3,300,000",6분전
경기 의정부, 교촌치킨 녹양점,16:00~23:00,"시급8,590",21분전
경기 부천시, 교촌치킨 옥길점,18:00~01:00,"시급8,600",26분전
경기 김포시, 교촌치킨 김포 장기1호,12:00~24:00,"시급14,000",30분전
대전 대덕구, 교촌치킨 대전 송촌1호,16:00~24:00,"시급11,000",31분전
서울 영등포, 교촌치킨 영등포역점,17:00~04:00,"월급3,300,000",31분전
서울 영등포, 교촌치킨 영등포역점,17:00~04:00,"월급3,300,000",31분전
경기 화성시, 교촌치킨 병점1호,17:30~23:30,"시급10,000",32분전
충북 청주시, 교촌치킨 용암2호,17:00~24:00,"시급9,000",33분전
울산 중구, 교촌치킨 울산 다운,18:00~23:00,"시급9,500",36분전
경기 안양시, 교촌치킨 안양1호,13:00~24:00,"월급2,800,000",36분전
경기 고양시, 교촌치킨 고양 삼송,10:00~15:00,"월급2,300,000",38분전
전북 군산시, 교촌치킨 군산 미장수송,18:00~01:00,"시급9,000",39분전
전북 군산시, 교촌치킨 군산 미장수송,18:00~01:00,"시급9,000",39분전
전북 전주시, 교촌치킨 인후,18:00~24:00,"시급9,500",39분전
서울 강서구, 교촌치킨 강서구청,18:00~01:00,"시급10,000",43분전
경기 하남시, 교촌치킨 미사1호,12:00~24:00,"월급3,000,000",44분전
부산 중구, 교촌치킨 남포부평,18:00~12:00,"시급8,590",47분전
경기 고양시, 교촌치킨 고양 삼송,18:00~21:00,"시급10,000",47분전
광주 전체, 교촌치킨 하남2지구,17:30~24:30,"월급1,300,000",50분전
경기 고양시, 교촌치킨 고양 삼송,12:00~24:00,"월급3,500,000",51분전
경기 고양시, 교촌치킨 고양 삼송,05:00~23:00,"월급2,300,000",51분전
인천 남동구, 교촌치킨 소래포구,18:00~24:00,"시급10,000",52분전
서울 양천구, 교촌치킨 서울 목동오거리,17:00~24:00,"시급10,000",59분전
경북 구미시, 교촌치킨 구미 송정,17:00~24:00,"시급8,590",1시간전
경기 여주시, 교촌치킨 여주 여주1호,17:00~23:00,"시급9,000",1시간전
경기 안양시, 교촌치킨 안양1번가,18:00~24:00,"시급9,000",1시간전
경기 평택시, 교촌치킨 고덕1호점,17:00~24:00,"시급11,000",1시간전
부산 해운대, 교촌치킨 부산 우동1호,12:00~24:00,"시급9,600",1시간전
대전 유성구, 교촌치킨 도안1지구,17:00~24:00,"시급11,000",1시간전
전북 전주시, 교촌치킨 전주 효자,17:30~24:00,"시급9,000",1시간전
전북 군산시, 교촌치킨 지곡,17:00~24:00,"시급9,000",1시간전
전북 군산시, 교촌치킨 지곡,17:00~24:00,"시급9,000",1시간전
서울 강서구, 교촌치킨 까치산역,17:00~04:00,"월급3,300,000",1시간전
전남 순천시, 교촌치킨 전남 조례,18:00~01:00,"시급10,000",1시간전
