place,title,time,pay,date
경남 양산시, (주)기탄러닝,13:00~19:00,"월급2,500,000",6시간전
부산 동래구, (주)기탄러닝,14:00~19:00,"연봉22,000,000",20시간전
경남 김해시, (주)기탄러닝,14:00~18:00,"월급2,000,000",08/28
서울 강서구, (주)기탄러닝,14:00~18:00,"월급2,500,000",08/28
경기 하남시, (주)기탄러닝,14:00~18:00,"연봉24,000,000",08/25
서울 강동구, (주)기탄러닝,14:00~18:00,"연봉24,000,000",08/25
울산 전체, (주)기탄러닝,13:00~19:00,"월급2,500,000",08/25
경기 구리시, (주)기탄러닝,14:00~18:00,"월급2,000,000",08/24
강원 원주시, 달리는커피,10:00~14:00,"시급8,590",08/24
강원 원주시, (주)기탄러닝,14:00~18:00,"월급2,000,000",08/24
경기 김포시, (주)기탄러닝,13:00~18:00,"월급2,500,000",08/24
경기 파주시, (주)기탄러닝,13:00~18:00,"월급2,500,000",08/24
경기 부천시, (주)기탄러닝,13:00~18:00,"연봉15,000,000",08/24
경기 부천시, (주)기탄러닝,13:00~18:00,"연봉15,000,000",08/24
경남 김해시, (주)기탄러닝,14:00~18:00,"월급2,000,000",08/24
경남 김해시, (주)기탄러닝,14:00~18:00,"월급2,000,000",08/24
경북 구미시, (주)기탄러닝,14:00~18:00,"월급2,000,000",08/24
부산 기장군, (주)기탄사고력교실,02:00~18:00,"연봉25,000,000",08/24
부산 기장군, (주)기탄사고력교실,02:00~18:00,"연봉25,000,000",08/24
부산 사하구, (주)기탄러닝,13:00~17:00,"월급2,000,000",08/24
서울 구로구, (주)기탄러닝,14:00~18:00,"월급2,500,000",08/24
서울 구로구, (주)기탄러닝,14:00~18:00,"월급2,500,000",08/24
서울 은평구, (주)기탄러닝,14:00~18:00,"월급2,500,000",08/24
서울 은평구, (주)기탄러닝,14:00~18:00,"월급2,500,000",08/24
경남 양산시, (주)기탄러닝,13:00~19:00,"월급2,500,000",08/24
충북 전체, (주)기탄러닝,00:00~24:00,"월급2,000,000",08/24
충북 전체, (주)기탄러닝,00:00~24:00,"월급2,000,000",08/24
충북 전체, (주)기탄러닝,00:00~24:00,"월급2,000,000",08/24
세종 보람동, (주)기탄러닝,02:00~06:00,"월급2,000,000",08/24
세종 소담동, (주)기탄러닝,02:00~06:00,"월급2,000,000",08/24
부산 기장군, (주)기탄사고력교실,02:00~18:00,"연봉25,000,000",08/23
경기 성남시, (주)기탄러닝,14:00~18:00,"월급2,500,000",08/23
경기 광주시, (주)기탄러닝,14:00~18:00,"월급2,500,000",08/23
경기 광주시, (주)기탄러닝,14:00~18:00,"월급2,500,000",08/23
강원 원주시, (주)기탄러닝,14:00~18:00,"월급2,000,000",08/23
경남 양산시, (주)기탄러닝,13:00~19:00,"월급2,500,000",08/22
경남 김해시, (주)기탄러닝,14:00~18:00,"월급2,000,000",08/21
충북 전체, (주)기탄러닝,00:00~24:00,"월급2,000,000",08/18
경기 안양시, (주)기탄러닝,14:00~18:00,"월급2,000,000",08/15
경기 용인시, (주)기탄러닝,13:00~18:00,"월급2,000,000",08/15
