place,title,time,pay,date
서울 송파구, 깐부치킨 위례중앙점,16:00~01:00,"월급2,200,000",8분전
서울 영등포, 깐부치킨 동여의도점,18:00~00:00,"시급9,000",3시간전
서울 서초구, 깐부치킨 구반포,15:00~01:00,"시급9,000",3시간전
경기 안산시, 깐부치킨 안산고잔점,15:00~01:00,"월급1,950,000",4시간전
서울 강남구, 깐부치킨 학동역점,18:00~11:00,"시급12,000",7시간전
서울 전체, 깐부치킨 한티점,18:00~01:30,"시급9,000",14시간전
서울 서초구, 깐부치킨 구반포,15:00~01:00,"시급9,000",23시간전
서울 영등포, 깐부치킨 동여의도점,18:00~00:00,"시급9,000",23시간전
서울 강남구, 깐부치킨 세곡점,18:30~01:30,"시급8,590",08/28
경기 시흥시, 깐부치킨 시흥은계점,15:00~01:00,"시급8,590",08/28
경기 시흥시, 깐부치킨 시흥은계점,18:00~01:00,"시급8,590",08/28
경기 시흥시, 깐부치킨 시흥은계점,15:00~22:00,"시급8,590",08/28
경기 시흥시, 깐부치킨 시흥은계점,15:00~01:00,"월급2,400,000",08/25
서울 서초구, 깐부치킨 구반포,15:00~01:00,"시급9,000",08/25
경기 시흥시, 깐부치킨 시흥은계점,15:00~01:00,"시급8,590",08/25
경기 이천시, 깐부치킨 이천하이닉스점,18:00~21:00,"시급9,000",08/24
경기 의정부, 깐부치킨 의정부신곡점,18:30~02:00,"시급8,590",08/23
서울 서초구, 깐부치킨 남부터미널점,06:00~11:00,"시급9,000",08/23
서울 강남구, 깐부치킨 개포점,21:00~01:30,"시급9,000",08/22
서울 강남구, 깐부치킨 개포점,16:00~01:30,"월급2,400,000",08/22
서울 전체, 깐부치킨 광화문점,18:00~02:00,"월급2,200,000",08/22
서울 전체, 깐부치킨 광화문점,18:00~02:00,"월급2,200,000",08/22
서울 전체, 깐부치킨 광화문점,18:00~02:00,"월급2,200,000",08/22
서울 전체, 깐부치킨 광화문점,18:00~02:00,"월급2,200,000",08/22
서울 강남구, 깐부치킨 역삼스타타워점,18:00~01:00,"시급10,000",08/21
경기 안산시, 깐부치킨 안산신길지구점,22:00~03:00,"시급8,590",08/21
서울 영등포, 깐부치킨 동여의도점,18:00~00:00,"시급9,000",08/20
서울 서초구, 깐부치킨 구반포,15:00~01:00,"시급9,000",08/20
서울 용산구, 깐부치킨 후암점,18:00~01:00,"시급8,590",08/19
서울 영등포, 깐부치킨 동여의도점,18:00~00:00,"시급9,000",08/18
서울 강남구, 깐부치킨 역삼스타타워점,18:00~01:00,"시급10,000",08/18
서울 전체, 깐부치킨 대치역점,18:00~23:00,"시급9,000",08/18
서울 강남구, 깐부치킨 역삼스타타워점,18:00~01:00,"시급10,000",08/17
경기 성남시, 깐부치킨 분당서현점,18:30~12:00,"월급650,000",08/17
서울 중구, 깐부치킨 서울역한라비발디점,18:00~24:00,"월급1,050,000",08/16
경기 안산시, 깐부치킨 안산신길지구점,17:30~22:00,"시급8,590",08/16
서울 용산구, 깐부치킨 용산푸르지오써밋점,18:00~23:00,"시급9,000",08/16
