place,title,time,pay,date
서울 동대문, 날라가 서울성북구점,10:00~02:00,"월급5,000,000",32분전
서울 동대문, 날라가 서울성북구점,10:00~02:00,"월급5,000,000",32분전
서울 강북구, 날라가 서울성북구점,10:00~02:00,"월급5,000,000",32분전
서울 성북구, 날라가 서울성북구점,10:00~02:00,"월급5,000,000",33분전
대구 수성구, 날라가 대구수성구수성점,11:00~02:00,"시급15,000",49분전
대구 수성구, 날라가 대구수성구지산점,11:00~02:00,"일급150,000",50분전
경기 오산시, 날라가 오산5지사,10:00~03:00,"건별3,300",1시간전
경기 오산시, 날라가 오산5지사,10:00~03:00,"건별3,300",1시간전
경기 오산시, 날라가 오산5지사,10:00~03:00,"건별3,300",1시간전
경기 오산시, 날라가 오산5지사,10:00~03:00,"건별3,300",1시간전
대구 수성구, 날라가 대구수성구수성점,11:00~02:00,"시급15,000",2시간전
대구 수성구, 날라가 대구수성구지산점,11:00~02:00,"일급150,000",2시간전
대구 수성구, 날라가 대구수성구수성점,11:00~02:00,"시급15,000",08/28
대구 수성구, 날라가 대구수성구지산점,11:00~02:00,"일급150,000",08/28
경기 양주시, 날라가 경기양주점,11:00~23:50,"건별3,000",08/25
전남 나주시, 날라가 전남나주시점,10:00~02:00,"건별3,000",08/24
대구 수성구, 날라가 대구수성구지산점,11:00~02:00,"일급150,000",08/21
충남 논산시, 날라가 충남논산시점,11:00~23:00,"건별3,000",08/21
충남 논산시, 날라가 충남논산시점,11:00~23:00,"건별3,000",08/18
대구 수성구, 날라가 대구수성구수성점,11:00~02:00,"시급15,000",08/15
