place,title,time,pay,date
서울 서초구, 노브랜드 강남터미널점,07:00~22:00,"시급9,700",8분전
서울 영등포, (주)이마트 노브랜드 영등포양평점,09:00~22:30,"시급9,700",13분전
세종 아름동, 노브랜드 세종아름점,08:00~22:00,"시급9,700",14분전
경기 시흥시, 노브랜드 시흥목감점,08:00~22:00,"시급9,700",41분전
경기 화성시, (주)이마트,09:00~22:00,"시급9,700",58분전
경기 화성시, (주)이마트,09:00~22:00,"시급9,700",1시간전
경기 용인시, 노브랜드 용인신봉점,09:00~17:00,"시급9,700",2시간전
경기 성남시, 노브랜드 성남 위례창곡점,08:30~16:30,"시급9,700",2시간전
충북 청주시, 노브랜드 청주사천점,10:30~21:30,"시급9,700",2시간전
경기 용인시, 노브랜드 용인신봉점,09:00~17:00,"시급9,700",2시간전
대전 서구, 노브랜드 대전관저점,09:00~22:00,"시급9,700",3시간전
경기 남양주, (주)이마트,09:00~17:00,"시급9,700",3시간전
경기 성남시, 노브랜드 성남 위례창곡점,08:30~16:30,"시급9,700",4시간전
경기 성남시, 노브랜드 성남 위례창곡점,08:30~16:30,"시급9,700",4시간전
경기 구리시, 노브랜드 구리갈매점,09:00~22:00,"시급9,700",4시간전
서울 영등포, (주)이마트 노브랜드 영등포양평점,09:00~22:30,"시급9,700",4시간전
서울 영등포, (주)이마트 노브랜드 영등포양평점,09:00~22:30,"시급9,700",4시간전
경기 파주시, (주)이마트,10:00~22:10,"시급9,700",5시간전
경기 고양시, 노브랜드 고양풍동점,09:00~22:00,"시급9,700",5시간전
경기 성남시, 노브랜드 성남 위례창곡점,08:30~16:30,"시급9,700",5시간전
서울 성동구, 노브랜드 엔터식스한양대점,08:30~22:00,"시급9,700",5시간전
서울 강남구, 노브랜드 강남역삼점,09:00~22:00,"시급9,700",6시간전
경기 남양주, (주)이마트,11:00~22:30,"시급9,700",8시간전
경기 하남시, [이마트]스타필드하남 No Brand,09:00~23:00,"시급9,700",8시간전
인천 서구, No-Brand 인천마전점,10:30~22:00,"시급9,700",08/30
충남 아산시, (주)이마트,09:30~21:30,"시급9,700",08/30
경기 의정부, (주)이마트,14:30~22:30,"시급9,700",08/30
충북 청주시, 노브랜드 청주사천점,10:30~21:30,"시급9,700",08/30
서울 금천구, 노브랜드 마리오아울렛점,09:00~21:30,"시급9,700",08/30
전국 전체, (주)이마트,10:30~22:00,"시급9,700",08/30
경기 성남시, 노브랜드 성남 위례창곡점,08:30~16:30,"시급9,700",08/30
경기 파주시, (주)이마트,10:00~22:10,"시급9,700",08/30
경기 시흥시, 노브랜드 시흥목감점,08:00~22:00,"시급9,700",08/29
경기 화성시, (주)이마트,10:30~22:30,"시급9,700",08/29
서울 영등포, (주)이마트 노브랜드 영등포양평점,09:00~22:30,"시급9,700",08/28
인천 서구, (주)이마트,11:00~19:00,"시급9,700",08/28
경기 성남시, 노브랜드 판교운중점,09:00~22:00,"시급9,700",08/28
대전 전체, (주)이마트,07:00~15:00,"시급9,700",08/28
대전 전체, (주)이마트,07:00~15:00,"시급9,700",08/28
대전 전체, (주)이마트,07:00~15:00,"시급9,700",08/28
