place,title,time,pay,date
경북 칠곡군, 다이소 칠곡중리점,09:00~22:30,"시급8,590",1분전
대구 북구, 다이소 대구칠성점,07:30~22:30,"월급1,795,310",1분전
서울 강남구, 신사역점,09:00~22:30,"월급1,795,310",1분전
서울 강동구, 다이소 천호본점,07:00~22:30,"월급1,795,310",1분전
대구 달서구, 다이소 영남 오픈리베로,09:30~18:30,"월급1,795,310",2분전
서울 강남구, 다이소 강남본점,08:00~14:00,"시급8,590",2분전
서울 강남구, 다이소 코엑스몰점,11:00~14:00,"시급8,590",2분전
서울 강남구, 다이소 코엑스몰점,16:00~22:00,"시급8,590",2분전
서울 서초구, 다이소 강남고속버스터미널점,09:00~22:30,"월급1,795,310",3분전
경남 양산시, 다이소 양산남부시장점,09:00~15:00,"시급8,590",3분전
서울 강남구, 선릉점,16:00~22:00,"시급8,590",3분전
서울 강남구, 다이소 다이소강남구청역점,09:00~22:30,"월급1,795,310",3분전
서울 서초구, 다이소 방배역점,09:00~22:30,"월급1,795,310",4분전
서울 강남구, 다이소 영동프라자점,08:00~22:30,"월급1,795,310",5분전
서울 서초구, 다이소 내방역점,08:00~22:30,"월급1,795,310",5분전
서울 서초구, 다이소 교대역점,08:00~18:00,"월급1,795,310",6분전
서울 전체, 다이소 직영2현장CS팀,09:30~18:30,"월급2,095,310",6분전
서울 동작구, 다이소 직영2현장CS팀,09:00~22:30,"월급179,530",6분전
경기 오산시, 오산원동점,08:00~22:30,"월급1,795,310",6분전
경기 화성시, 다이소 남동탄점,08:00~22:00,"월급1,795,310",7분전
경기 화성시, 다이소 엔터식스동탄점,15:30~21:30,"시급8,590",7분전
경기 화성시, 다이소 화성향남점,08:30~22:30,"월급1,795,310",7분전
경기 평택시, 다이소 평택소사벌지구점,09:00~22:00,"월급1,795,310",8분전
경기 수원시, 다이소 수원남문점,12:00~18:00,"시급8,590",8분전
경기 수원시, 다이소 수원터미널점,08:00~22:30,"월급1,795,310",9분전
경기 안성시, 다이소 안성공도점,09:00~22:00,"월급1,795,310",10분전
경기 평택시, 다이소 평택역점,09:00~22:00,"월급1,795,310",10분전
서울 동작구, 다이소 보라매점,16:00~22:00,"시급8,590",10분전
경기 이천시, 다이소 이천중앙점,08:00~22:30,"월급1,795,310",11분전
경기 이천시, 다이소 이천사음점,16:00~22:00,"시급8,590",12분전
경기 수원시, 다이소 홈플러스 북수원점,09:30~15:30,"시급8,590",12분전
경기 이천시, 다이소 이천본점,16:00~22:00,"시급8,590",13분전
경기 성남시, 다이소 성남모란역점,09:00~22:00,"월급1,795,310",14분전
서울 성북구, 다이소 안암점,07:00~23:00,"월급1,795,310",14분전
경기 광주시, 다이소 경기광주본점,09:00~22:00,"월급1,795,310",14분전
경기 용인시, 다이소 용인중앙시장점,07:30~23:10,"월급1,795,310",14분전
부산 사상구, 다이소 부산서부터미널점,06:30~15:30,"월급1,795,310",15분전
부산 사상구, 다이소 부산서부터미널점,06:30~15:30,"월급1,795,310",15분전
경기 성남시, 다이소 성남태평점,16:00~22:00,"시급8,590",15분전
경기 성남시, 다이소 성남중앙로점,13:00~19:00,"시급8,590",16분전
