place,title,time,pay,date
부산 사하구, 두찜  부산다대점3,18:00~20:00,"시급9,000",27분전
충남 천안시, 두찜  천안직산점,14:00~21:00,"월급1,500,000",55분전
경북 포항시, 두찜 포항양덕점,17:00~22:00,"시급8,590",56분전
충남 천안시, 두찜  천안성거점,11:00~15:00,"시급8,600",1시간전
경기 남양주, 두찜  다산신도시점,09:00~12:00,"시급9,000",4시간전
충남 계룡시, 두찜 충남계룡점,17:00~21:00,"시급9,500",4시간전
인천 남동구, 두찜 인천구월점,21:00~24:00,"시급9,000",4시간전
서울 광진구, 두찜 광진구의점2,11:00~18:00,"시급9,500",5시간전
서울 광진구, 두찜 광진구의점2,11:00~18:00,"시급9,500",5시간전
세종 다정동, 두찜  세종 새롬점,11:00~24:00,"월급3,000,000",5시간전
충남 천안시, 두찜 천안성환점,18:00~23:00,"시급8,600",5시간전
서울 광진구, 두찜 광진구의점2,17:00~02:00,"시급9,500",7시간전
세종 다정동, 두찜  세종 새롬점,11:00~24:00,"월급3,000,000",08/30
세종 다정동, 두찜  세종 새롬점,11:00~24:00,"월급3,000,000",08/29
대전 서구, 두찜  대전탄방점2,10:30~22:30,"시급8,590",08/25
인천 부평구, 두찜 인천삼산점,11:00~23:00,"월급2,400,000",08/25
대전 서구, 두찜  대전탄방점2,10:30~22:30,"시급8,590",08/24
경기 화성시, 두찜  화성남양점,16:00~21:00,"시급8,590",08/24
대전 서구, 두찜  대전탄방점2,10:30~22:30,"시급8,590",08/23
인천 중구, 두찜  영종운서점,18:00~22:00,"시급10,000",08/22
부산 연제구, 두찜  부산 연산점,11:00~23:00,"월급2,700,000",08/22
인천 중구, 두찜  영종운서점,11:00~02:00,"시급10,000",08/22
전북 전주시, 두찜  전주 효자1호점,00:00~24:00,"시급8,590",08/19
경기 전체, 두찜  부천소사점,11:00~23:00,"월급2,800,000",08/18
충북 진천군, 두찜  충북 진천점,16:00~22:00,"월급2,000,000",08/17
경기 남양주, 두찜  남양주덕소점,17:00~22:00,"시급9,000",08/16
인천 부평구, 두찜 인천삼산점,10:00~22:00,"시급8,590",08/16
경기 전체, 두찜  부천소사점,11:00~23:00,"월급2,800,000",08/15
서울 성동구, 두찜  성동왕십리점,12:00~24:00,"월급2,800,000",08/15
서울 성동구, 두찜  성동왕십리점,12:00~24:00,"월급2,800,000",08/15
경기 화성시, 두찜  화성 청계점,10:00~22:00,"월급2,900,000",08/15
경기 화성시, 두찜  화성 청계점,10:00~22:00,"월급2,900,000",08/15
경기 화성시, 두찜  화성 청계점,10:00~22:00,"월급2,900,000",08/15
경기 화성시, 두찜  화성 청계점,10:00~22:00,"월급2,900,000",08/15
경기 광명시, 두찜  광명역점,19:00~22:30,"시급8,590",08/15
전남 목포시, 두찜  목포 북항점,17:30~21:00,"시급8,590",08/15
전남 목포시, 두찜  목포 북항점,17:30~21:00,"시급8,590",08/15
전남 목포시, 두찜  목포 북항점,17:30~21:00,"시급8,590",08/15
전남 목포시, 두찜  목포 북항점,17:30~21:00,"시급8,590",08/15
부산 부산진, 두찜  부산당감점,18:00~21:00,"시급9,000",08/15
