place,title,time,pay,date
부산 해운대, 롤링핀 H스위트해운대점,02:00~21:00,"시급8,590",11분전
부산 해운대, 롤링핀 H스위트해운대점,02:00~21:00,"시급8,590",11분전
부산 해운대, 롤링핀 H스위트해운대점,02:00~21:00,"시급8,590",11분전
서울 서초구, 롤링핀 강남 어반플레이스점,08:00~16:00,"시급8,590",13분전
서울 서초구, 롤링핀 강남 어반플레이스점,08:00~16:00,"시급8,590",13분전
서울 서초구, 롤링핀 강남 어반플레이스점,08:00~16:00,"시급8,590",13분전
경기 성남시, 롤링핀 야탑점,06:00~15:00,"월급2,000,000",15분전
경기 성남시, 롤링핀 야탑점,06:00~15:00,"월급2,000,000",15분전
경기 성남시, 롤링핀 야탑점,06:00~15:00,"월급2,000,000",15분전
대구 수성구, 롤링핀 대구 수성못점,09:30~15:00,"시급8,590",15분전
대구 수성구, 롤링핀 대구 수성못점,09:30~15:00,"시급8,590",15분전
대구 수성구, 롤링핀 대구 수성못점,09:30~15:00,"시급8,590",16분전
경기 성남시, 롤링핀 세곡점,08:00~15:00,"시급10,500",1시간전
서울 서초구, 롤링핀 센트럴시티점,12:00~18:00,"시급8,590",1시간전
서울 서초구, 롤링핀 센트럴시티점,12:00~18:00,"시급8,590",1시간전
서울 서초구, 롤링핀 센트럴시티점,12:00~18:00,"시급8,590",1시간전
경기 성남시, 롤링핀 세곡점,10:00~16:00,"시급10,500",1시간전
서울 강남구, 롤링핀 포스코사거리점,09:00~15:00,"시급8,600",4시간전
서울 서초구, 롤링핀 센트럴시티점,12:00~18:00,"시급8,590",5시간전
대구 수성구, 롤링핀 대구 수성못점,09:30~15:00,"시급8,590",21시간전
경북 구미시, 롤링핀  구미 강동점,17:00~22:00,"시급8,590",08/29
경북 구미시, 롤링핀  구미 강동점,17:00~22:00,"시급8,590",08/28
경북 구미시, 롤링핀 구미 금오산점,18:30~21:30,"시급8,590",08/25
경기 남양주, 롤링핀 별내카페거리점,09:00~15:00,"시급8,590",08/25
경북 구미시, 롤링핀 구미 금오산점,18:30~21:30,"시급8,590",08/23
경북 구미시, 롤링핀 구미 금오산점,09:00~23:00,"월급2,000,000",08/23
경북 구미시, 롤링핀 구미 금오산점,09:00~23:00,"월급2,000,000",08/22
경기 이천시, 롤링핀 이천점,08:00~22:00,"시급10,308",08/22
세종 대평동, 롤링핀 세종 수변공원점,09:10~11:20,"시급8,590",08/22
세종 대평동, 롤링핀 세종 수변공원점,09:10~11:20,"시급8,590",08/22
세종 대평동, 롤링핀 세종 수변공원점,09:10~11:20,"시급8,590",08/22
세종 나성동, 롤링핀 세종점,09:00~09:10,"시급8,590",08/22
세종 나성동, 롤링핀 세종점,09:00~09:10,"시급8,590",08/22
세종 나성동, 롤링핀 세종점,09:00~09:10,"시급8,590",08/22
경기 성남시, 롤링핀 야탑점,06:00~15:00,"월급2,000,000",08/22
경북 구미시, 롤링핀 구미 금오산점,18:30~21:30,"시급8,590",08/22
서울 중구, 롤링핀 을지로입구점,06:30~15:30,"월급1,900,000",08/22
전남 여수시, 롤링핀 여수웅천점,12:00~18:00,"시급8,590",08/22
전남 여수시, 롤링핀 여수웅천점,12:00~18:00,"시급8,590",08/22
전남 여수시, 롤링핀 여수웅천점,12:00~18:00,"시급8,590",08/22
