place,title,time,pay,date
경기 부천시, 롯데리아 부천오정점,12:00~17:00,"시급8,590",1분전
경기 부천시, 롯데리아 부천오정점,12:00~17:00,"시급8,590",2분전
경남 진주시, 롯데리아 진주초전D/I점,09:00~01:00,"시급8,590",3분전
경남 진주시, 롯데리아 진주초전D/I점,09:00~01:00,"시급8,590",3분전
경기 수원시, 롯데리아 수원권선점,09:00~18:00,"시급10,000",11분전
경기 수원시, 롯데리아 수원권선점,09:00~18:00,"시급10,000",11분전
경기 수원시, 롯데리아 수원권선점,08:00~23:00,"월급2,000,000",11분전
경기 수원시, 롯데리아 수원권선점,09:00~24:00,"시급8,590",11분전
경기 남양주, 롯데리아 남양주청학점,16:00~22:00,"시급8,590",13분전
충남 아산시, 롯데리아 아산탕정점,09:00~22:00,"시급8,590",16분전
전북 익산시, 롯데리아 익산부송점,09:00~18:00,"월급1,800,000",17분전
서울 양천구, 롯데리아 신곡시장점,17:00~22:30,"시급8,590",24분전
충남 천안시, 롯데리아 천안쌍용점,17:00~22:00,"시급8,590",26분전
강원 강릉시, 롯데리아 강릉포남점,10:00~22:30,"시급8,590",33분전
서울 영등포, 롯데리아 롯데마트서울양평점,00:00~23:00,"시급8,590",34분전
경남 창원시, 롯데리아 창원대동백화점,17:00~22:00,"시급8,590",34분전
인천 남동구, 롯데리아 인천구월점,08:00~23:00,"월급2,000,000",39분전
인천 남동구, 롯데리아 인천구월점,08:00~23:00,"시급10,500",40분전
인천 남동구, 롯데리아 인천구월점,09:00~23:00,"시급8,590",40분전
경기 안성시, 롯데리아 안성중앙점,09:00~21:00,"월급2,600,000",41분전
경기 안성시, 롯데리아 안성중앙점,09:00~24:00,"시급8,590",41분전
서울 동작구, 롯데리아 이수역점,09:00~18:00,"월급2,600,000",45분전
서울 동작구, 롯데리아 이수역점,09:00~18:00,"월급2,600,000",45분전
서울 동작구, 롯데리아 이수역점,09:00~21:00,"시급8,590",45분전
경기 김포시, 롯데리아 롯데리아 김포사우점,10:00~23:00,"시급8,590",48분전
경기 김포시, 롯데리아 롯데리아 김포사우점,09:00~23:00,"월급2,500,000",49분전
경기 김포시, 롯데리아 롯데리아 김포사우점,10:00~23:00,"월급2,000,000",50분전
경기 김포시, 롯데리아 롯데리아 김포사우점,10:00~23:00,"시급12,000",50분전
경기 의왕시, 롯데리아 의왕부곡점,17:00~22:00,"시급8,590",51분전
경기 의왕시, 롯데리아 의왕부곡점,17:00~22:00,"시급8,590",52분전
경기 의왕시, 롯데리아 의왕부곡점,17:00~22:00,"시급8,590",52분전
경기 의왕시, 롯데리아 의왕부곡점,17:00~22:00,"시급8,590",53분전
경북 경주시, 롯데리아 신경주역사점,11:00~20:00,"시급9,000",58분전
부산 전체, 롯데리아 부산경성대점,08:00~23:00,"시급8,590",1시간전
부산 전체, 롯데리아 부산경성대점,23:00~08:00,"일급88,000",1시간전
경남 김해시, 롯데리아 김해장유점,00:00~08:00,"시급8,590",1시간전
충남 천안시, 롯데리아 천안백석점,16:00~22:00,"시급8,590",1시간전
충남 천안시, 롯데리아 천안백석점,16:00~22:00,"시급8,590",1시간전
울산 남구, 롯데리아 울산터미날점,08:00~23:00,"시급8,590",1시간전
충남 천안시, 롯데리아 천안백석점,16:00~22:00,"시급8,590",1시간전
