place,title,time,pay,date
광주 광산구, 광주수완아울렛점,16:30~21:00,"시급8,590",6분전
대구 동구, 롭스 이시아폴리스점,13:00~16:30,"시급8,590",13분전
부산 중구, 롭스 롯데마트광복점,17:00~22:00,"시급8,590",16분전
부산 중구, 롭스 광복동점,10:00~13:00,"시급8,590",17분전
경기 양평군, 롭스 경기롯데마트양평점,09:30~13:00,"시급8,590",2시간전
서울 관악구, 롭스 구로점,18:30~23:00,"시급8,590",2시간전
서울 관악구, 롭스 구로점,18:30~23:00,"시급8,590",2시간전
서울 서초구, 롭스 강남엔터점,17:00~23:00,"시급8,590",2시간전
전북 군산시, 롭스 군산아웃렛점,17:30~21:00,"시급8,590",3시간전
경기 수원시, 롭스 수원역사점,10:00~14:30,"시급8,590",3시간전
부산 중구, 롭스 광복동점,19:00~21:00,"시급8,921",3시간전
울산 남구, 롭스 울산업스퀘어점,10:30~18:00,"시급8,590",3시간전
서울 중구, 롭스 서울역점,09:30~13:00,"시급8,590",08/28
서울 강남구, 롭스 신논현점,18:30~23:00,"시급10,308",08/28
울산 남구, 롭스 울산삼산점,13:00~17:30,"시급8,590",08/28
부산 부산진, 롯데쇼핑㈜ H&B사업본부 (롭스) 서,11:00~14:00,"시급8,590",08/28
서울 서초구, 롭스 강남엔터점,17:00~23:00,"시급8,590",08/22
