place,title,time,pay,date
서울 동작구, 마왕족발 상도역점,17:00~22:30,"시급8,590",17분전
서울 동작구, 마왕족발 상도역점,17:00~22:30,"시급8,590",18분전
서울 동작구, 마왕족발 상도역점,17:00~22:30,"시급8,590",18분전
서울 동작구, 마왕족발 상도역점,17:00~22:30,"시급8,590",18분전
강원 원주시, 마왕족발 원주혁신도시점,14:00~24:00,"월급2,300,000",18분전
강원 원주시, 마왕족발 원주혁신도시점,14:00~24:00,"월급2,300,000",18분전
강원 원주시, 마왕족발 원주혁신도시점,14:00~24:00,"월급2,300,000",18분전
경북 구미시, 마왕족발 구미상모사곡점,16:00~24:00,"월급2,100,000",20분전
경북 구미시, 마왕족발 구미상모사곡점,16:00~24:00,"월급2,100,000",21분전
경북 구미시, 마왕족발 구미상모사곡점,16:00~24:00,"월급2,100,000",21분전
경남 밀양시, 마왕족발 밀양점,17:00~00:00,"시급9,000",21분전
경남 밀양시, 마왕족발 밀양점,17:00~00:00,"시급9,000",21분전
경남 밀양시, 마왕족발 밀양점,17:00~00:00,"시급9,000",21분전
인천 연수구, 마왕족발 인천연수점,15:00~01:00,"시급10,308",22분전
인천 연수구, 마왕족발 인천연수점,15:00~01:00,"시급10,308",22분전
인천 연수구, 마왕족발 인천연수점,15:00~01:00,"시급10,308",22분전
경기 고양시, 마왕족발 일산탄현점,18:00~02:00,"시급9,100",23분전
경기 고양시, 마왕족발 일산탄현점,18:00~02:00,"시급9,100",23분전
경기 고양시, 마왕족발 일산탄현점,18:00~02:00,"시급9,100",23분전
경기 고양시, 마왕족발 일산탄현점,18:00~02:00,"시급9,100",23분전
경기 부천시, 마왕족발 부천본점,11:00~20:00,"월급2,250,000",23분전
경기 부천시, 마왕족발 부천본점,11:00~20:00,"월급2,250,000",23분전
경기 부천시, 마왕족발 부천본점,11:00~20:00,"월급2,250,000",24분전
인천 부평구, 마왕족발 부개점,11:00~20:00,"월급2,100,000",24분전
인천 부평구, 마왕족발 부개점,11:00~20:00,"월급2,100,000",24분전
인천 부평구, 마왕족발 부개점,11:00~20:00,"월급2,100,000",24분전
광주 서구, 마왕족발 광주풍암점,18:00~23:00,"시급8,600",1시간전
경기 남양주, 마왕족발 평내호평점,16:00~01:00,"월급2,100,000",2시간전
인천 미추홀, 마왕족발 인천용현점,14:00~24:00,"월급2,300,000",2시간전
충남 천안시, 마왕족발 천안신부점,16:00~01:00,"월급2,100,000",5시간전
광주 서구, 마왕족발 광주풍암점,18:00~23:00,"시급8,600",5시간전
충남 천안시, 마왕족발 천안신부점,16:00~01:00,"월급2,100,000",08/30
강원 원주시, 마왕족발 원주단계점,17:00~21:00,"시급9,000",08/30
강원 원주시, 마왕족발 원주단계점,17:00~21:00,"시급9,000",08/30
경기 부천시, 마왕족발 부천역곡점,18:00~23:00,"시급8,590",08/30
경기 부천시, 마왕족발 부천역곡점,18:00~23:00,"시급8,590",08/30
인천 미추홀, 마왕족발 인천용현점,14:00~24:00,"월급2,300,000",08/30
인천 미추홀, 마왕족발 인천용현점,14:00~24:00,"월급2,300,000",08/30
인천 미추홀, 마왕족발 인천용현점,14:00~24:00,"월급2,300,000",08/30
인천 미추홀, 마왕족발 인천용현점,14:00~24:00,"월급2,300,000",08/30
