place,title,time,pay,date
광주 서구, 매드포갈릭 광주광천점,11:00~20:00,"시급10,310",37분전
인천 연수구, 매드포갈릭 송도점,12:00~21:00,"시급10,310",1시간전
경기 수원시, 매드포갈릭 수원인계점,12:00~21:00,"시급10,310",2시간전
서울 서초구, 매드포갈릭 삼성타운점,12:00~21:00,"시급10,310",4시간전
경남 창원시, 매드포갈릭 창원점,10:30~14:00,"시급10,310",8시간전
서울 중구, 매드포갈릭 센터원점,11:00~20:00,"시급10,310",08/30
서울 금천구, 엠에프지코리아 매드포갈릭 가산점,18:00~21:00,"시급10,310",08/29
인천 연수구, 매드포갈릭 송도점,12:00~21:00,"시급10,310",08/28
서울 금천구, 엠에프지코리아 매드포갈릭 가산점,18:00~21:00,"시급10,310",08/27
경기 안양시, 매드포갈릭 안양범계점,10:00~13:00,"시급10,310",08/26
서울 강서구, 매드포갈릭 발산점,10:00~22:00,"시급10,310",08/26
서울 중구, 매드포갈릭 센터원점,11:00~20:00,"시급10,310",08/26
경기 성남시, 판교 라스트리트점,12:00~21:00,"시급10,310",08/25
인천 연수구, 매드포갈릭 송도점,12:00~21:00,"시급10,310",08/25
서울 중구, 매드포갈릭 센터원점,11:00~20:00,"시급10,310",08/25
경기 평택시, (주)엠에프지코리아,11:00~20:00,"시급10,310",08/24
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급10,310",08/22
광주 서구, 매드포갈릭 광주광천점,12:30~22:00,"시급10,310",08/22
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,310",08/22
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,310",08/21
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",08/21
서울 마포구, 엠에프지코리아 매드포갈릭 합정점,12:30~21:30,"시급10,310",08/21
경기 성남시, 판교 라스트리트점,12:00~21:00,"시급10,310",08/21
서울 중구, 매드포갈릭 센터원점,11:00~20:00,"시급10,310",08/21
서울 강서구, 매드포갈릭 발산점,10:00~22:00,"시급10,310",08/21
경기 성남시, 판교 라스트리트점,12:00~21:00,"시급10,310",08/19
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,310",08/19
경기 평택시, (주)엠에프지코리아,11:00~20:00,"시급10,310",08/19
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급10,310",08/18
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급10,310",08/18
서울 전체, MAD FOR GARLIC,12:30~21:30,"시급10,310",08/18
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,310",08/18
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",08/17
서울 전체, MAD FOR GARLIC,12:30~21:30,"시급10,310",08/16
경기 성남시, 판교 라스트리트점,18:00~21:30,"시급10,310",08/16
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",08/16
인천 연수구, 매드포갈릭 송도점,12:00~21:00,"시급10,310",08/16
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,310",08/15
광주 서구, 매드포갈릭 광주광천점,11:00~20:00,"시급10,310",08/15
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",08/15
