place,title,time,pay,date
경기 성남시, 매머드커피 판교,12:30~17:30,"시급10,400",26분전
경기 성남시, 매머드커피 모란점,15:00~23:00,"시급9,000",3시간전
경기 성남시, 매머드커피 모란점,23:00~05:00,"시급10,000",3시간전
경기 성남시, 매머드커피 모란점,15:00~23:00,"시급9,000",3시간전
경기 성남시, 매머드커피 판교,12:30~17:30,"시급10,400",3시간전
경기 성남시, 매머드커피 판교제2테크노벨리점,13:00~17:30,"시급10,310",4시간전
서울 동작구, 매머드커피 상도역점,13:00~18:00,"시급8,590",4시간전
서울 동작구, 매머드커피 상도역점,13:00~18:00,"시급8,590",4시간전
서울 영등포, 매머드커피 여의도증권가,06:30~13:30,"시급10,308",5시간전
경기 성남시, 매머드커피 판교제2테크노벨리점,13:00~17:30,"시급10,310",10시간전
경기 성남시, 매머드커피 판교제2테크노벨리점,07:30~12:00,"시급10,310",20시간전
경기 성남시, 매머드커피 판교제2테크노벨리점,13:00~17:30,"시급10,310",20시간전
서울 중구, 매머드커피 명동,12:00~19:00,"시급8,590",08/30
서울 영등포, 매머드커피 여의도증권가,06:30~13:30,"시급10,308",08/29
서울 종로구, 매머드커피 종로5가,08:00~15:00,"시급10,308",08/29
서울 종로구, 매머드커피 효제동,08:00~15:00,"시급10,308",08/29
서울 종로구, 매머드커피 종로5가,08:00~15:00,"시급10,308",08/28
경기 성남시, 매머드커피 판교제2테크노벨리점,07:30~12:00,"시급10,310",08/26
서울 영등포, 매머드커피 여의도증권가,06:30~13:30,"시급10,308",08/25
서울 양천구, 매머드커피 목동,12:00~14:00,"시급8,590",08/24
서울 강남구, 매머드커피 강남역,16:00~21:00,"시급8,590",08/18
