place,title,time,pay,date
인천 미추홀, 멕시카나 신기,18:00~23:00,"시급10,000",5분전
충남 아산시, 멕시카나 온천(중부),23:00~02:00,"시급10,000",1시간전
충남 아산시, 멕시카나 온천(중부),23:00~02:00,"시급10,000",2시간전
경기 시흥시, 멕시카나 신천점,19:00~23:00,"시급8,590",2시간전
경기 평택시, 멕시카나 비전2(경기남),18:00~23:00,"시급10,000",3시간전
전북 전주시, 멕시카나 우아점(전북),17:30~23:00,"시급8,590",3시간전
경기 평택시, 멕시카나 비전2(경기남),18:00~23:00,"시급10,000",7시간전
인천 서구, 멕시카나 인천북지사,18:00~23:00,"시급8,700",08/28
경기 남양주, 멕시카나 별내점,18:00~22:00,"시급8,590",08/26
대구 달서구, 멕시카나 신월성점(영남),18:00~22:00,"시급8,590",08/24
서울 노원구, 멕시카나 중계점,12:00~01:00,"월급2,800,000",08/23
인천 미추홀, 멕시카나 신기,18:00~23:00,"시급10,000",08/23
인천 계양구, 멕시카나 임학병방점,18:00~22:00,"시급10,000",08/21
경남 창원시, 멕시카나 양덕메트로점(경남),18:00~24:00,"시급8,590",08/21
인천 중구, 멕시카나 동인천율목,16:00~01:00,"시급8,590",08/21
인천 서구, 멕시카나 청라루원시티점(인남),23:00~02:00,"시급9,000",08/21
경기 광명시, 멕시카나 광명철산점,17:30~21:30,"시급8,590",08/20
경기 수원시, 멕시카나 우만점(서울),10:00~15:00,"시급8,600",08/20
서울 관악구, 멕시카나 난곡시티점,18:00~23:00,"시급8,600",08/19
서울 관악구, 멕시카나 난곡시티점,18:00~23:00,"시급8,600",08/19
서울 관악구, 멕시카나 신림점,19:00~07:00,"월급3,200,000",08/17
경기 김포시, 멕시카나 김포북변점,17:00~01:00,"시급10,000",08/17
인천 서구, 멕시카나 인천북지사,17:00~23:00,"시급8,590",08/17
대전 서구, 멕시카나 만년점(중부),18:00~21:00,"시급9,000",08/17
경남 창원시, 멕시카나 양덕메트로점(경남),18:00~24:00,"시급8,590",08/15
