place,title,time,pay,date
대전 서구, 미니스톱 둔산타운점,18:00~23:00,"시급8,590",3시간전
대전 서구, 미니스톱 둔산타운점,18:00~23:00,"시급8,590",3시간전
대전 서구, 미니스톱 둔산타운점,18:00~23:00,"시급8,590",3시간전
대전 서구, 미니스톱 둔산타운점,18:00~23:00,"시급8,590",3시간전
경북 포항시, 미니스톱 포항유강대림점,12:00~06:00,"시급8,590",3시간전
경북 포항시, 미니스톱 포항유강대림점,12:00~06:00,"시급8,590",3시간전
경북 포항시, 미니스톱 포항유강대림점,12:00~06:00,"시급8,590",3시간전
경북 포항시, 미니스톱 포항유강대림점,12:00~06:00,"시급8,590",3시간전
경기 화성시, 미니스톱 삼성시티점,23:00~08:00,"시급8,600",08/30
경기 화성시, 미니스톱 삼성시티점,23:00~08:00,"시급8,600",08/30
경기 화성시, 미니스톱 삼성시티점,23:00~08:00,"시급8,600",08/30
경기 화성시, 미니스톱 삼성시티점,23:00~08:00,"시급8,600",08/30
경북 포항시, 미니스톱 포항희망점,17:00~23:00,"시급8,590",08/30
경북 포항시, 미니스톱 포항희망점,17:00~23:00,"시급8,590",08/30
경북 포항시, 미니스톱 포항희망점,17:00~23:00,"시급8,590",08/30
경북 경주시, 미니스톱 노서중앙점,23:00~07:00,"시급8,590",08/29
경북 경주시, 미니스톱 노서중앙점,23:00~07:00,"시급8,590",08/29
경북 경주시, 미니스톱 노서중앙점,23:00~07:00,"시급8,590",08/28
광주 광산구, 미니스톱 교통방송점,18:00~22:00,"시급8,590",08/25
광주 광산구, 미니스톱 교통방송점,18:00~22:00,"시급8,590",08/25
광주 광산구, 미니스톱 교통방송점,18:00~22:00,"시급8,590",08/25
광주 광산구, 미니스톱 교통방송점,18:00~22:00,"시급8,590",08/25
경기 양주시, 미니스톱 백석타운점,23:00~07:00,"시급8,590",08/25
경기 양주시, 미니스톱 백석타운점,23:00~07:00,"시급8,590",08/25
경기 양주시, 미니스톱 백석타운점,23:00~07:00,"시급8,590",08/25
경기 양주시, 미니스톱 백석타운점,23:00~07:00,"시급8,590",08/25
서울 성동구, 미니스톱 한양대정보관점,15:00~22:00,"시급8,590",08/25
서울 성동구, 미니스톱 한양대정보관점,15:00~22:00,"시급8,590",08/25
서울 구로구, 미니스톱 구로공단점,16:30~20:00,"시급8,600",08/25
서울 구로구, 미니스톱 구로공단점,16:30~20:00,"시급8,600",08/25
서울 구로구, 미니스톱 구로공단점,16:30~20:00,"시급8,600",08/25
서울 영등포, 미니스톱 당산포스빌점,18:00~23:00,"시급8,590",08/25
서울 강남구, 미니스톱 삼성현대점,08:00~15:00,"시급8,590",08/22
전북 군산시, 미니스톱 군산시청점,08:00~00:00,"시급9,000",08/22
전북 군산시, 미니스톱 군산시청점,08:00~00:00,"시급9,000",08/22
전북 군산시, 미니스톱 군산시청점,08:00~00:00,"시급9,000",08/22
전북 군산시, 미니스톱 군산시청점,08:00~00:00,"시급9,000",08/22
전북 전주시, 미니스톱 평화호반점,00:00~24:00,"시급8,590",08/22
서울 영등포, 미니스톱 여의도공원점,18:00~22:00,"시급8,600",08/22
서울 영등포, 미니스톱 여의도공원점,18:00~22:00,"시급8,600",08/22
