place,title,time,pay,date
전국 전체, 더본코리아 홍콩반점0410 홍대2호점,00:00~24:00,"월급2,800,000",1분전
경기 광명시, 더본코리아 홍콩반점0410 광명철산점,10:30~22:30,"월급2,300,000",1분전
경기 광명시, 더본코리아 홍콩반점0410 광명철산점,10:30~22:30,"월급2,700,000",1분전
경남 김해시, 더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급2,800,000",5분전
경남 양산시, 홍콩반점0410 양산역점,10:00~22:00,"월급2,400,000",6분전
부산 전체, 리춘시장 부산사상점,22:00~02:00,"시급8,590",6분전
부산 전체, 리춘시장 부산사상점,22:00~02:00,"시급8,590",6분전
충남 천안시, 리춘시장 천안두정점,20:00~03:00,"시급9,000",9분전
서울 노원구, 더본코리아 홍콩반점0410 노원역남부,11:00~22:00,"월급2,050,000",15분전
부산 연제구, 더본코리아 홍콩반점0410 부산연산동,10:00~18:00,"시급8,590",17분전
서울 동대문, 더본코리아 홍콩반점0410 답십리역점,10:00~10:00,"월급2,300,000",17분전
부산 연제구, 더본코리아 홍콩반점0410 부산연산동,10:00~18:00,"시급8,590",18분전
경남 창원시, 더본코리아 홍콩반점0410 창원어반브,10:30~14:00,"시급8,590",19분전
전국 전체, 더본코리아 홍콩반점0410 홍대2호점,00:00~24:00,"월급2,800,000",21분전
전국 전체, 더본코리아 홍콩반점0410 홍대2호점,00:00~24:00,"월급2,800,000",22분전
인천 서구, 더본코리아 홍콩반점0410 인천청라점,10:00~22:00,"월급2,700,000",23분전
경남 창원시, 백스비어 마산산호점,19:00~24:00,"시급8,590",23분전
인천 서구, 더본코리아 홍콩반점0410 인천청라점,21:00~05:00,"월급1,800,000",23분전
인천 서구, 더본코리아 홍콩반점0410 인천청라점,10:00~22:00,"월급2,700,000",24분전
서울 전체, 인생설렁탕 영등포역점,00:00~24:00,"월급2,500,000",27분전
서울 강서구, 더본코리아 홍콩반점0410 마곡나루역,10:00~22:00,"월급2,100,000",32분전
서울 강남구, 더본코리아 인생설렁탕 논현지점,10:30~22:30,"월급2,404,660",33분전
경남 창원시, 홍콩반점0410 창원메트로시티점,16:30~22:00,"시급8,590",34분전
서울 강서구, 더본코리아 새마을식당 마곡나루역점,12:00~15:00,"시급9,000",36분전
경남 창원시, 홍콩반점0410 창원메트로시티점,10:30~16:00,"시급8,590",37분전
서울 동작구, 더본코리아 홍콩반점0410 중앙대점,10:00~22:00,"월급2,200,000",37분전
서울 동작구, 더본코리아 홍콩반점0410 중앙대점,10:00~22:00,"월급2,200,000",37분전
대전 중구, 더본코리아 역전우동0410 대전은행점,10:30~22:30,"월급2,100,000",38분전
인천 중구, 홍콩반점0410 영종하늘도시점,11:00~21:00,"월급2,500,000",41분전
전국 전체, 더본코리아 홍콩반점0410 김포사우점,09:30~21:30,"월급2,500,000",42분전
경기 김포시, 더본코리아 홍콩반점0410 김포사우점,17:00~21:00,"시급8,600",43분전
인천 중구, 홍콩반점0410 영종하늘도시점,09:30~23:00,"시급8,590",43분전
경기 김포시, 더본코리아 홍콩반점0410 김포장기쌍,17:30~21:30,"시급8,600",44분전
경기 김포시, 더본코리아 홍콩반점0410 김포장기쌍,21:30~21:30,"월급2,500,000",45분전
경기 김포시, 더본코리아 홍콩반점0410 김포장기쌍,17:30~21:30,"시급8,600",45분전
경기 김포시, 더본코리아 홍콩반점0410 김포장기쌍,17:30~21:30,"시급8,600",45분전
경기 성남시, 홍콩반점0410 모란시장점,10:00~22:00,"월급2,600,000",47분전
경남 창원시, 롤링파스타 마산합성점,10:00~22:00,"월급2,500,000",50분전
부산 전체, 더본코리아 홍콩반점0410 해운대역점,11:00~21:00,"시급8,590",51분전
대전 중구, 한신포차 대전대흥점,16:30~23:00,"시급8,590",51분전
