place,title,time,pay,date
서울 마포구, 백채김치찌개  마포구청점,10:30~14:00,"시급8,590",4시간전
경기 용인시, 백채김치찌개  용인명지대점,18:00~22:00,"시급8,590",4시간전
서울 강동구, 백채김치찌개  암사역점,10:00~23:30,"월급2,400,000",7시간전
서울 관악구, 백채김치찌개  신림대학동점,10:00~21:00,"시급8,590",7시간전
경기 수원시, 백채김치찌개  광교중앙역점,10:00~03:00,"시급8,590",08/29
경기 성남시, 백채김치찌개  분당수내점,11:00~14:00,"시급9,000",08/29
서울 마포구, 백채김치찌개  합정역점,10:00~14:00,"시급8,590",08/28
경기 성남시, 백채김치찌개  단대오거리점,18:00~22:30,"시급8,590",08/28
경기 화성시, 백채김치찌개  동탄카림애비뉴점,17:00~21:30,"시급10,000",08/25
경기 화성시, 백채김치찌개  동탄카림애비뉴점,17:00~21:30,"시급10,000",08/25
경기 화성시, 백채김치찌개  동탄카림애비뉴점,17:00~21:30,"시급10,000",08/25
경기 화성시, 백채김치찌개  동탄카림애비뉴점,17:00~21:30,"시급10,000",08/25
서울 강서구, 백채김치찌개 양천향교역점,11:30~22:00,"시급8,590",08/25
서울 강서구, 백채김치찌개 양천향교역점,11:30~22:00,"시급8,590",08/25
서울 강서구, 백채김치찌개 양천향교역점,11:30~22:00,"시급8,590",08/25
서울 강서구, 백채김치찌개 양천향교역점,11:30~22:00,"시급8,590",08/25
부산 해운대, 백채김치찌개 장산역점,10:00~23:00,"시급8,590",08/25
부산 해운대, 백채김치찌개 장산역점,10:00~23:00,"시급8,590",08/25
부산 해운대, 백채김치찌개 장산역점,10:00~23:00,"시급8,590",08/25
부산 해운대, 백채김치찌개 장산역점,10:00~23:00,"시급8,590",08/25
서울 서초구, 백채김치찌개 방배역점,18:00~20:00,"시급8,600",08/25
서울 서초구, 백채김치찌개 방배역점,18:00~20:00,"시급8,600",08/25
서울 서초구, 백채김치찌개 방배역점,18:00~20:00,"시급8,600",08/25
서울 서초구, 백채김치찌개 방배역점,18:00~20:00,"시급8,600",08/25
서울 마포구, 백채김치찌개 합정역점,10:00~14:00,"시급8,590",08/25
서울 마포구, 백채김치찌개 합정역점,10:00~14:00,"시급8,590",08/25
서울 마포구, 백채김치찌개 합정역점,10:00~14:00,"시급8,590",08/25
서울 마포구, 백채김치찌개 합정역점,10:00~14:00,"시급8,590",08/25
서울 강동구, 백채김치찌개 암사역점,10:00~23:30,"시급9,000",08/25
서울 강동구, 백채김치찌개 암사역점,10:00~23:30,"시급9,000",08/25
서울 강동구, 백채김치찌개 암사역점,10:00~23:30,"시급9,000",08/25
서울 강동구, 백채김치찌개 암사역점,10:00~23:30,"시급9,000",08/25
서울 은평구, 백채김치찌개  응암역점,18:30~21:00,"시급8,590",08/25
서울 은평구, 백채김치찌개  응암역점,18:30~21:00,"시급8,590",08/25
서울 은평구, 백채김치찌개  응암역점,18:30~21:00,"시급8,590",08/25
서울 은평구, 백채김치찌개  응암역점,18:30~21:00,"시급8,590",08/25
서울 강서구, 백채김치찌개  양천향교역점,11:30~22:00,"시급8,590",08/25
서울 강서구, 백채김치찌개  양천향교역점,11:30~22:00,"시급8,590",08/25
서울 강서구, 백채김치찌개  양천향교역점,11:30~22:00,"시급8,590",08/25
부산 해운대, 백채김치찌개  장산역점,10:00~23:00,"시급8,590",08/25
