place,title,time,pay,date
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,590",1분전
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,590",1분전
서울 광진구, 버거킹 건대입구역점,11:00~16:30,"시급8,590",2분전
경남 창원시, 버거킹 마산내서삼계SK점,10:00~22:30,"시급8,590",4분전
서울 중구, 버거킹 시청역점,16:00~23:30,"시급8,590",7분전
서울 중구, 버거킹 시청역점,16:00~23:30,"시급8,590",7분전
서울 중구, 버거킹 시청역점,16:00~23:30,"시급8,590",8분전
서울 송파구, 버거킹 종합운동장사거리점,08:00~01:00,"시급8,590",8분전
서울 중구, 버거킹 시청역점,16:00~23:30,"시급8,590",8분전
서울 관악구, 교대역점,09:00~16:00,"시급8,590",12분전
서울 관악구, 교대역점,09:00~16:00,"시급8,590",12분전
서울 관악구, 교대역점,09:00~16:00,"시급8,590",13분전
경기 안성시, 버거킹 안성공도DT점,19:00~01:00,"시급8,590",13분전
서울 관악구, 교대역점,09:00~16:00,"시급8,590",13분전
서울 강남구, 버거킹 수서점,00:00~24:00,"시급8,590",16분전
서울 강남구, 버거킹 수서점,00:00~24:00,"시급8,590",16분전
충북 청주시, 버거킹 충북대점(S),17:00~24:00,"시급8,590",17분전
서울 송파구, 버거킹 종합운동장사거리점,08:00~01:00,"시급8,590",22분전
경남 양산시, 버거킹 양산하나로마트점,16:30~21:00,"시급8,590",26분전
경남 양산시, 버거킹 양산하나로마트점,16:30~21:00,"시급8,590",27분전
경남 창원시, 버거킹 진해충무DT점,08:00~24:00,"시급8,590",29분전
경남 창원시, 버거킹 진해충무DT점,08:00~24:00,"시급8,590",30분전
경남 창원시, 버거킹 진해충무DT점,08:00~24:00,"시급8,590",30분전
경남 창원시, 버거킹 진해충무DT점,08:00~24:00,"시급8,590",31분전
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,590",33분전
경기 용인시, 용인신갈점,09:00~23:00,"시급8,590",33분전
경기 평택시, 버거킹 평택고덕신도시GS점,11:00~18:00,"시급8,590",35분전
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,590",35분전
경기 화성시, 동탄점,08:00~24:00,"시급8,590",36분전
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,590",36분전
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,590",36분전
서울 구로구, 버거킹 개봉점,17:00~01:00,"시급8,590",37분전
대구 동구, 대구율하점(S),17:00~22:00,"시급8,590",41분전
서울 중구, 버거킹 시청역점,16:00~23:30,"시급8,590",42분전
서울 종로구, 버거킹 종로구청점,17:00~24:00,"시급8,590",43분전
서울 종로구, 버거킹 종로구청점,17:00~24:00,"시급8,590",43분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",45분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",45분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",46분전
서울 전체, 버거킹 충무로역점,19:00~01:40,"시급8,590",49분전
