place,title,time,pay,date
서울 광진구, 사보텐 건대스타시티점,12:00~17:00,"시급8,590",1시간전
서울 광진구, 사보텐 건대스타시티점,10:00~14:00,"시급8,590",1시간전
서울 광진구, 사보텐 건대스타시티점,17:00~21:30,"시급8,590",1시간전
서울 서초구, (주)캘리스코 더센트럴키친 고속터미널,13:30~21:30,"시급8,590",3시간전
서울 강남구, (주)캘리스코 사보텐 압구정본점,10:00~16:00,"시급8,590",22시간전
서울 서초구, (주)캘리스코,10:00~15:00,"시급8,590",08/30
광주 서구, 사보텐 신세계광주점,12:00~20:00,"시급8,590",08/30
경기 여주시, (주)캘리스코 히바린 여주첼시점,10:00~16:30,"시급8,590",08/29
서울 영등포, 사보텐 동여의도점,11:30~14:30,"시급10,308",08/29
서울 강남구, (주)캘리스코 사보텐 압구정본점,10:00~16:00,"시급8,590",08/28
서울 영등포, 사보텐 동여의도점,11:30~14:30,"시급8,590",08/28
서울 강남구, (주)캘리스코 더센트럴키친 고속터미널,07:00~15:00,"시급8,590",08/28
서울 강남구, 사보텐 선릉역점,11:00~15:00,"시급8,590",08/28
충남 천안시, 사보텐,12:00~15:00,"시급8,590",08/26
서울 영등포, 사보텐 동여의도점,11:30~14:30,"시급8,590",08/25
광주 동구, 사보텐 롯데백화점광주점,11:30~15:00,"시급8,590",08/25
충남 천안시, 사보텐,12:00~15:00,"시급8,590",08/25
경남 창원시, 사보텐 창원시티세븐점,12:00~16:00,"시급8,590",08/25
부산 해운대, 히바린 신세계 센텀점,09:30~21:30,"시급8,590",08/24
서울 강남구, 사보텐 아워홈빌딩점,10:00~15:00,"시급8,590",08/24
충남 천안시, 사보텐,12:00~15:00,"시급8,590",08/24
서울 영등포, 사보텐 동여의도점,11:30~14:30,"시급8,590",08/24
서울 서초구, (주)캘리스코,12:00~22:00,"시급8,590",08/23
서울 영등포, 사보텐 동여의도점,11:30~14:30,"시급8,590",08/23
경기 여주시, (주)캘리스코 히바린,09:00~22:00,"연봉26,000,000",08/22
경남 창원시, 사보텐 창원시티세븐점,12:00~16:00,"시급8,590",08/22
서울 용산구, 히바린 이태원점,17:00~22:00,"시급8,590",08/22
광주 동구, 사보텐 롯데백화점광주점,11:30~15:00,"시급8,590",08/22
서울 강남구, 사보텐 아워홈빌딩점,10:00~15:00,"시급8,590",08/22
충남 천안시, 사보텐,12:00~15:00,"시급8,590",08/21
서울 마포구, (주)캘리스코 사보텐 공덕역점,11:00~16:00,"시급8,590",08/21
서울 종로구, 캘리스코 사보텐 광화문점,12:00~15:00,"시급8,590",08/21
광주 동구, 사보텐 롯데백화점광주점,11:30~15:00,"시급8,590",08/20
서울 종로구, 캘리스코 사보텐 광화문점,12:00~15:00,"시급8,590",08/19
