place,title,time,pay,date
서울 금천구, 성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",1분전
경기 구리시, 성원아이북랜드 구리남양주영업본부,10:00~20:00,"시급10,000",24분전
경기 남양주, 성원아이북랜드 구리남양주영업본부,10:00~20:00,"시급10,000",24분전
경기 남양주, 성원아이북랜드 구리남양주영업본부,10:00~20:00,"시급10,000",25분전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",35분전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",36분전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",36분전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",37분전
경기 용인시, 성원아이북랜드 용인영업본부,13:30~20:40,"월급1,000,000",45분전
경기 용인시, 성원아이북랜드 용인영업본부,13:30~20:40,"월급1,000,000",45분전
서울 성북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",1시간전
서울 성북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",1시간전
서울 강서구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",1시간전
서울 영등포, 성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",1시간전
서울 강북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",1시간전
대구 수성구, 성원아이북랜드 대구동부시지영업본부,14:00~20:00,"월급1,000,000",1시간전
경기 오산시, 성원아이북랜드 아이리더스쿨 경기남부사,13:00~18:00,"건별50,000",1시간전
경기 오산시, 성원아이북랜드 아이리더스쿨 경기남부사,13:00~18:00,"건별50,000",2시간전
경기 화성시, 성원아이북랜드 아이리더스쿨 경기남부사,13:00~18:00,"건별50,000",2시간전
경기 화성시, 성원아이북랜드 아이리더스쿨 경기남부사,13:00~18:00,"건별50,000",2시간전
서울 송파구, 성원아이북랜드 아이리더스쿨 강남사업국,13:00~18:00,"건별50,000",2시간전
서울 강동구, 성원아이북랜드 아이리더스쿨 강남사업국,13:00~18:00,"건별50,000",2시간전
서울 송파구, 성원아이북랜드 아이리더스쿨 강남사업국,13:00~18:00,"건별50,000",2시간전
서울 강동구, 성원아이북랜드 아이리더스쿨 강남사업국,13:00~18:00,"건별50,000",2시간전
대구 달서구, 성원아이북랜드 대구달서달성영업본부,10:00~19:00,"월급800,000",4시간전
대구 달성군, 성원아이북랜드 대구달서달성영업본부,10:00~19:00,"건별35,000",4시간전
대구 달서구, 성원아이북랜드 대구달서달성영업본부,10:00~19:00,"건별35,000",4시간전
대구 달서구, 성원아이북랜드 대구달서달성영업본부,10:00~19:00,"건별35,000",4시간전
서울 서대문, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,000,000",4시간전
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급800,000",4시간전
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급800,000",4시간전
서울 마포구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,000,000",4시간전
서울 전체, 성원아이북랜드 노원도봉영업본부,14:00~20:00,"월급1,000,000",6시간전
서울 서초구, 성원아이북랜드 서초영업본부,10:00~13:00,"월급600,000",7시간전
서울 서초구, 성원아이북랜드 서초영업본부,14:00~19:00,"월급900,000",7시간전
서울 서초구, 성원아이북랜드 서초영업본부,14:00~19:00,"월급900,000",7시간전
서울 서초구, 성원아이북랜드 서초영업본부,10:00~13:00,"월급600,000",7시간전
서울 송파구, 성원아이북랜드 송파영업본부,14:00~20:00,"월급700,000",7시간전
서울 송파구, 성원아이북랜드 송파영업본부,14:00~20:00,"월급700,000",7시간전
서울 송파구, 성원아이북랜드 송파영업본부,14:00~20:00,"월급700,000",7시간전
