place,title,time,pay,date
경기 이천시, (주)에스엠케이티앤아이,10:30~21:00,"월급1,895,310",7시간전
서울 서초구, (주)에스엠케이티앤아이 강남점,10:00~22:00,"월급2,133,360",08/30
서울 서초구, (주)에스엠케이티앤아이 강남점,10:00~22:00,"월급2,133,360",08/30
서울 서초구, (주)에스엠케이티앤아이 강남점,10:00~22:00,"월급2,133,360",08/30
경기 이천시, (주)에스엠케이티앤아이,10:30~21:00,"월급1,895,310",08/28
전남 순천시, shoemaker,10:00~20:00,"시급8,590",08/25
인천 남동구, 슈마커 인천뉴코아점,14:00~20:00,"시급8,590",08/25
전남 순천시, shoemaker,14:00~23:00,"시급8,590",08/21
경기 용인시, (주)슈마커 이마트 수지점,15:00~23:00,"월급1,700,000",08/21
전남 순천시, shoemaker,14:00~23:00,"시급8,590",08/18
