place,title,time,pay,date
경기 성남시, 슈펜 야탑점,09:00~18:00,"월급1,900,000",2시간전
경기 성남시, 슈펜 야탑점,09:00~18:00,"월급1,900,000",2시간전
경기 성남시, 슈펜 야탑점,09:00~18:00,"월급1,900,000",2시간전
서울 구로구, 슈펜 용산 아이파크몰점,09:00~18:00,"월급1,900,000",3시간전
서울 용산구, 슈펜 용산 아이파크몰점,09:00~18:00,"월급1,900,000",3시간전
인천 부평구, 슈펜 슈펜본부,09:00~18:00,"월급1,900,000",3시간전
경기 광명시, 슈펜 슈펜본부,09:00~18:00,"월급1,900,000",3시간전
서울 양천구, 슈펜 슈펜본부,09:00~18:00,"월급1,900,000",3시간전
서울 송파구, 슈펜 슈펜 송파점,09:00~18:00,"월급1,900,000",5시간전
서울 광진구, 슈펜 슈펜 송파점,09:00~18:00,"월급1,900,000",5시간전
서울 관악구, 슈펜 슈펜 강남점,09:00~18:00,"월급1,900,000",7시간전
서울 중랑구, 슈펜 슈펜 강남점,09:00~18:00,"월급1,900,000",7시간전
서울 은평구, 슈펜 슈펜 홍대점,09:00~18:00,"월급1,900,000",08/29
서울 영등포, 슈펜 슈펜 홍대점,09:00~18:00,"월급1,900,000",08/29
서울 마포구, 슈펜 슈펜 홍대점,13:00~22:00,"월급1,900,000",08/29
