place,title,time,pay,date
전남 여수시, 스타벅스커피 코리아 여수여서점,08:00~23:00,"시급8,800",2분전
전남 여수시, 스타벅스커피 코리아 여수여서점,08:00~23:00,"시급8,800",13분전
대전 유성구, 스타벅스커피 코리아 대전관평동점,06:30~24:00,"시급8,800",14분전
전남 광양시, 스타벅스커피 코리아 전남광양DT,06:30~23:00,"시급8,800",24분전
제주 전체, 스타벅스커피 코리아 제주송악산점,08:30~18:00,"시급8,800",37분전
경북 경주시, 스타벅스커피 코리아 경주중앙점,08:00~22:30,"시급8,800",42분전
충북 전체, 스타벅스커피 코리아 오창호수공원,07:30~23:00,"시급8,800",43분전
대전 유성구, 스타벅스커피 코리아 대전유성점,08:00~23:00,"시급8,800",44분전
경기 이천시, 스타벅스커피 코리아 이천하이닉스점,06:00~23:00,"시급8,800",1시간전
전남 여수시, 스타벅스커피 코리아 스타벅스 여수해양,08:00~23:00,"시급8,800",2시간전
대전 전체, 스타벅스커피 코리아 대전테크노밸리점,06:30~22:00,"시급8,800",2시간전
제주 전체, 제주협재,08:00~22:00,"시급8,800",3시간전
경북 경주시, 스타벅스커피 코리아 경주터미널DT점,06:00~24:00,"시급8,800",3시간전
강원 강릉시, 스타벅스커피 코리아 강릉교동광장,07:00~22:00,"시급8,800",3시간전
제주 전체, 스타벅스커피 코리아 제주중문점,07:30~21:00,"시급8,800",3시간전
경남 사천시, 스타벅스커피 코리아 사천벌리점,07:30~22:30,"시급8,800",3시간전
경남 진주시, 스타벅스커피 코리아 진주신안점,07:30~22:30,"시급8,800",3시간전
서울 송파구, 스타벅스커피 코리아 송파위례,06:30~23:30,"시급8,800",4시간전
충남 서산시, 스타벅스커피 코리아 서산호수점,07:00~23:00,"시급8,800",4시간전
경기 이천시, 스타벅스커피 코리아 이천하이닉스점,06:00~23:00,"시급8,800",4시간전
강원 강릉시, 스타벅스커피 코리아 강릉교동광장,07:00~22:00,"시급8,800",5시간전
경기 고양시, 스타벅스커피 코리아 백석점,06:00~23:00,"시급8,800",5시간전
전북 익산시, 스타벅스커피 코리아 익산영등DT,07:00~24:00,"시급8,800",9시간전
전남 광양시, 스타벅스커피 코리아 전남광양DT,06:30~23:00,"시급8,800",08/30
전남 여수시, 스타벅스커피 코리아 여수학동DT,06:30~24:00,"시급8,800",08/30
전남 여수시, 스타벅스커피 코리아 여수여서점,08:00~23:00,"시급8,800",08/30
경기 이천시, 스타벅스커피 코리아 이천하이닉스점,06:00~23:00,"시급8,800",08/30
제주 서귀포, 스타벅스커피 코리아 서귀포DT점,06:30~24:00,"시급8,800",08/29
전남 여수시, 스타벅스커피 코리아 여수둔덕DT,06:30~24:00,"시급8,800",08/29
경기 이천시, 스타벅스커피 코리아 이천증포DT,06:30~24:00,"시급8,800",08/29
광주 북구, 스타벅스커피 코리아 광주북구청점,07:30~22:00,"시급8,800",08/29
서울 강남구, 스타벅스커피 코리아 대치역점,06:30~22:00,"시급8,800",08/29
경북 구미시, 스타벅스커피 코리아 구미인동점,07:00~23:00,"시급8,800",08/28
제주 제주시, 제주외도DT,07:00~23:00,"시급8,800",08/28
울산 북구, 스타벅스커피 코리아 울산북구청DT,06:30~23:00,"시급8,800",08/28
제주 전체, 스타벅스커피 코리아 제주신화월드,07:00~22:00,"시급8,800",08/28
제주 전체, 스타벅스커피 코리아 제주송악산점,08:30~18:00,"시급8,800",08/28
대전 대덕구, 스타벅스커피 코리아 대전IC DT점,05:30~24:00,"시급8,800",08/28
경남 진주시, 스타벅스커피 코리아 진주평거점,06:30~23:30,"시급8,800",08/28
전남 여수시, 스타벅스커피 코리아 여수여서점,08:00~23:00,"시급8,800",08/27
