place,title,time,pay,date
인천 전체, 신선화로 부평점,22:00~06:00,"월급1,790,000",08/25
인천 부평구, 신선화로 부평점,22:00~06:00,"월급1,790,000",08/25
인천 부평구, 신선화로 부평점,22:00~06:00,"월급1,790,000",08/25
인천 부평구, 신선화로 부평점,22:00~06:00,"월급1,790,000",08/25
서울 마포구, 신선화로 홍대점(목로관),15:00~03:00,"월급3,000,000",08/24
서울 마포구, 신선화로 홍대점(목로관),15:00~03:00,"월급3,000,000",08/24
서울 마포구, 신선화로 홍대점(목로관),15:00~03:00,"월급3,000,000",08/24
서울 마포구, 신선화로 홍대점(목로관),15:00~03:00,"월급3,000,000",08/24
인천 부평구, 신선화로 역전불고기,18:00~23:00,"시급10,000",08/24
인천 부평구, 신선화로 역전불고기,18:00~23:00,"시급10,000",08/24
인천 부평구, 신선화로 역전불고기,18:00~23:00,"시급10,000",08/24
인천 부평구, 신선화로 역전불고기,18:00~23:00,"시급10,000",08/24
인천 미추홀, 신선화로 숭의점,10:00~22:00,"월급2,200,000",08/24
인천 미추홀, 신선화로 숭의점,10:00~22:00,"월급2,200,000",08/24
인천 미추홀, 신선화로 숭의점,10:00~22:00,"월급2,200,000",08/24
인천 미추홀, 신선화로 숭의점,10:00~22:00,"월급2,200,000",08/24
경기 안산시, 신선화로 안산점(착한갈비),18:00~22:00,"시급9,000",08/24
경기 안산시, 신선화로 안산점(착한갈비),18:00~22:00,"시급9,000",08/24
경기 안산시, 신선화로 안산점(착한갈비),18:00~22:00,"시급9,000",08/24
경기 안산시, 신선화로 안산점(착한갈비),18:00~22:00,"시급9,000",08/24
서울 마포구, 신선화로 홍대점(착한갈비),17:00~05:00,"월급2,500,000",08/24
서울 마포구, 신선화로 홍대점(착한갈비),17:00~05:00,"월급2,500,000",08/24
서울 마포구, 신선화로 홍대점(착한갈비),17:00~05:00,"월급2,500,000",08/24
서울 마포구, 신선화로 홍대점(착한갈비),17:00~05:00,"월급2,500,000",08/24
서울 마포구, 신선화로 홍대점,11:00~06:00,"월급2,700,000",08/24
서울 마포구, 신선화로 홍대점,11:00~06:00,"월급2,700,000",08/24
서울 마포구, 신선화로 홍대점,11:00~06:00,"월급2,700,000",08/24
서울 마포구, 신선화로 홍대점,11:00~06:00,"월급2,700,000",08/24
경기 광명시, 신선화로 광명점,18:00~22:00,"시급10,000",08/24
경기 광명시, 신선화로 광명점,18:00~22:00,"시급10,000",08/24
경기 광명시, 신선화로 광명점,18:00~22:00,"시급10,000",08/24
경기 광명시, 신선화로 광명점,18:00~22:00,"시급10,000",08/24
인천 전체, 신선화로 숭의점,11:00~23:00,"월급3,500,000",08/24
인천 부평구, 신선화로 숭의점,11:00~23:00,"월급3,500,000",08/24
전국 전체, 신선화로 숭의점,11:00~23:00,"월급3,500,000",08/24
인천 부평구, 신선화로 숭의점,11:00~23:00,"월급3,500,000",08/24
인천 남동구, 신선화로 도림점,10:00~22:00,"월급2,500,000",08/24
인천 남동구, 신선화로 도림점,10:00~22:00,"월급2,500,000",08/24
인천 남동구, 신선화로 도림점,10:00~22:00,"시급9,000",08/24
인천 남동구, 신선화로 도림점,10:00~22:00,"시급9,000",08/24
