place,title,time,pay,date
서울 강남구, 써브웨이,17:00~20:00,"시급8,590",4분전
경남 창원시, Subway,08:00~16:00,"연봉23,000,000",19분전
서울 전체, 써브웨이 동묘앞역점,17:30~22:30,"시급8,590",20분전
경기 성남시, 써브웨이 분당정자,16:00~22:30,"시급10,400",30분전
경기 성남시, 써브웨이분당서현점,16:00~23:10,"시급10,308",38분전
경기 성남시, 써브웨이 분당정자,16:00~22:30,"시급10,400",40분전
서울 강동구, 써브웨이 천호점,08:00~11:00,"시급8,700",43분전
대구 중구, 써브웨이 대구동성로(2호),18:00~23:00,"시급8,590",46분전
경기 부천시, 써브웨이 SUBWAY 부천역곡역점,07:30~16:00,"연봉24,000,000",1시간전
경기 성남시, 써브웨이 오리역점,11:30~20:00,"월급2,000,000",1시간전
서울 관악구, 써브웨이 서울대점,17:00~23:20,"시급8,590",2시간전
서울 관악구, 써브웨이 서울대점,17:00~23:20,"시급8,590",2시간전
경기 부천시, 써브웨이(SUBWAY) 부천역곡역점,11:00~17:30,"시급8,600",2시간전
서울 마포구, 써브웨이망원점,17:50~22:50,"시급8,590",2시간전
서울 서대문, 써브웨이순화동라마다점,17:00~22:00,"시급8,700",2시간전
대구 달서구, 써브웨이 대구계대동문점,11:00~16:00,"시급8,590",2시간전
서울 성동구, 써브웨이 신당역점,11:30~14:30,"시급10,350",2시간전
서울 중구, 써브웨이 신당역점,11:30~14:30,"시급10,350",2시간전
서울 강동구, 써브웨이 천호점,08:00~11:00,"시급8,700",2시간전
경기 성남시, 써브웨이 분당정자,16:00~22:30,"시급10,400",2시간전
부산 전체, (주)써브웨이 부산광복점,16:00~22:30,"시급8,590",3시간전
부산 해운대, 서브웨이 해운대비치점,17:00~23:00,"월급1,300,000",3시간전
부산 해운대, 써브웨이 부산 센텀시티,17:00~22:00,"시급8,590",3시간전
경기 성남시, 써브웨이 오리역점,11:30~20:00,"월급2,000,000",4시간전
울산 중구, 써브웨이 성남점,14:00~18:00,"시급8,590",4시간전
경기 부천시, 써브웨이(SUBWAY) 부천역곡역점,07:30~16:00,"연봉23,000,000",4시간전
울산 남구, 써브웨이 울산 달동점,14:00~18:00,"시급8,590",4시간전
서울 관악구, 서브웨이 서초법원점,10:00~14:00,"시급8,590",4시간전
전국 전체, 써브웨이 광명철산역점,08:00~15:00,"시급8,590",4시간전
서울 노원구, 서브웨이 노원점,16:00~21:00,"시급10,400",4시간전
경기 부천시, 써브웨이 SUBWAY 부천역곡역점,07:30~16:00,"연봉24,000,000",4시간전
서울 용산구, 써브웨이 한남점,17:10~22:00,"시급8,600",4시간전
대구 북구, 써브웨이 칠곡3지구점,10:00~15:00,"시급8,590",5시간전
대구 북구, 써브웨이 대구 침산점,14:30~23:30,"월급2,000,000",5시간전
서울 관악구, 서브웨이 서초법원점,10:00~14:00,"시급8,590",5시간전
경기 수원시, 써브웨이 광교경기대후문점,14:00~19:00,"시급8,590",5시간전
서울 관악구, 서브웨이 신림역점,15:00~22:30,"시급8,590",5시간전
부산 금정구, 서브웨이 부산대역점,07:00~17:00,"월급2,000,000",6시간전
부산 금정구, subway써브웨이,07:00~17:00,"월급2,000,000",6시간전
부산 금정구, 써브웨이 장전역점,07:00~23:00,"시급8,590",6시간전
