place,title,time,pay,date
인천 연수구, 아워홈 대동도어송도점,09:00~18:30,"시급8,590",1시간전
경기 시흥시, 아워홈 희성촉매시화점,11:00~18:30,"시급8,590",2시간전
대구 달성군, 아워홈 대동공업대구달성점,08:00~15:30,"시급8,590",6시간전
서울 양천구, 아워홈 목동제일여성병원점,06:00~10:30,"시급8,590",7시간전
경기 안양시, 아워홈 LS타워안양점,06:00~15:00,"월급2,200,000",8시간전
부산 동래구, 아워홈 세화병원부산점,06:30~15:30,"시급8,590",8시간전
경기 안성시, 아워홈 코리아에프티안성점,09:00~14:30,"시급10,000",8시간전
경기 고양시, 아워홈 다스람요양병원일산점,05:00~14:00,"시급8,590",08/29
경기 화성시, 아워홈 삼지전자동탄점,10:00~19:00,"시급8,590",08/28
서울 송파구, 아워홈 KB골든라이프빌리지점,11:30~20:30,"시급8,590",08/28
경남 양산시, 양산공장지원파트,06:00~15:00,"시급10,000",08/28
서울 강남구, 상품영업팀,08:30~17:30,"시급8,600",08/28
인천 강화군, 아워홈 SK와이번스드림파크강화점,07:30~15:30,"시급8,590",08/26
경기 수원시, 아워홈 유당마을실버타운수원점,15:00~19:30,"시급8,590",08/25
경기 수원시, 아워홈 유당마을실버타운수원점,06:00~15:00,"일급68,720",08/25
서울 은평구, 아워홈 서울서북병원은평점,05:30~14:30,"시급8,590",08/25
경기 고양시, 아워홈 일산차병원산후조리원점,11:30~20:30,"시급8,590",08/24
경기 김포시, 아워홈 빅손김포점,09:00~19:00,"시급8,700",08/23
충북 청주시, 아워홈 LS산전청주점,12:30~18:30,"시급8,590",08/23
서울 송파구, 아워홈 KB골든라이프빌리지점,11:30~20:30,"시급8,590",08/23
서울 동대문, 아워홈 카이스트서울캠퍼스점,08:00~13:30,"시급8,590",08/23
부산 남구, 아워홈 동국제강부산점,07:00~14:00,"시급8,590",08/22
경남 창원시, 아워홈 LG전자창원2점,08:00~18:00,"일급66,800",08/22
경남 김해시, 아워홈 넥센김해점,08:00~17:30,"일급68,720",08/22
인천 전체, 아워홈 하나금융데이터센터인천점,10:00~16:00,"시급8,590",08/18
경남 김해시, 아워홈 김해센텀두산위브더제니스점,07:00~13:00,"시급8,590",08/18
강원 평창군, 아워홈 서울대평창캠퍼스점,09:00~15:00,"시급10,000",08/17
인천 동구, 아워홈 재능대학교점,11:00~15:00,"시급8,590",08/17
경기 화성시, 아워홈 삼지전자동탄점,18:00~03:00,"시급8,590",08/15
경기 김포시, 아워홈 빅손김포점,09:00~19:00,"시급8,700",08/15
서울 성북구, 아워홈 고려대안암기숙사점,10:00~19:00,"일급69,000",08/15
전국 전체, 아워홈 혜원여자고등학교점,11:00~15:00,"시급8,590",08/15
