place,title,time,pay,date
경북 포항시, 제일패션리테일(주),13:00~22:00,"연봉26,120,000",16분전
경북 포항시, 제일패션리테일(주),13:00~22:00,"연봉28,700,000",17분전
충남 천안시, 제일패션리테일(주),13:00~22:00,"연봉26,120,000",21분전
충남 천안시, 제일패션리테일(주),13:00~22:00,"연봉28,700,000",24분전
부산 기장군, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",29분전
부산 부산진, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",32분전
전북 전주시, 제일패션리테일(주),13:00~22:00,"시급10,310",3시간전
울산 남구, 제일패션리테일(주),12:30~21:30,"연봉24,770,000",08/24
경기 고양시, 제일패션리테일(주),13:30~22:30,"시급10,310",08/23
서울 은평구, 제일패션리테일(주),13:30~22:30,"시급10,310",08/19
