place,title,time,pay,date
서울 관악구, 엔제리너스 구로디지털역점,23:30~06:30,"시급8,590",26분전
대구 북구, 엔제리너스 대구칠성시장역점,08:00~24:00,"월급1,860,000",43분전
대구 서구, 엔제리너스 대구북비산네거리점,08:00~24:00,"월급1,800,000",3시간전
전북 익산시, 엔제리너스 익산고봉로점,12:00~15:00,"시급8,590",5시간전
전북 군산시, 엔제리너스 군산조촌점,18:00~22:00,"시급8,590",5시간전
전북 군산시, 엔제리너스 군산조촌점,18:00~22:00,"시급8,590",5시간전
경북 경주시, 엔제리너스 경주D/T점,18:00~22:00,"시급8,590",8시간전
전북 군산시, 엔제리너스 군산조촌점,13:00~22:00,"월급1,850,000",08/27
전북 군산시, 엔제리너스 군산조촌점,13:00~22:00,"월급1,850,000",08/23
전북 완주군, 엔제리너스 완주봉동점,18:00~22:00,"시급8,590",08/23
전북 완주군, 엔제리너스 완주봉동점,18:00~22:00,"시급8,590",08/23
전북 완주군, 엔제리너스 완주봉동점,18:00~22:00,"시급8,590",08/23
대구 북구, 엔제리너스 칠곡구암역점,17:00~01:00,"시급8,590",08/21
대구 북구, 엔제리너스 칠곡구암역점,17:00~01:00,"시급8,590",08/21
서울 영등포, 엔제리너스 영등포역사점,06:30~22:30,"월급1,796,000",08/21
서울 영등포, 엔제리너스 영등포역사점,06:30~22:30,"월급1,796,000",08/19
서울 영등포, 엔제리너스 영등포역사점,06:30~22:30,"월급1,796,000",08/16
대구 북구, 엔제리너스 칠곡구암역점,17:00~01:00,"시급8,590",08/16
