place,title,time,pay,date
서울 전체, 더 키친 살바토레 쿠오모,12:00~22:00,"월급2,000,000",2시간전
전북 전주시, 폴바셋 롯데백화점전주점,08:00~22:00,"시급8,800",5시간전
서울 강동구, 폴바셋 현대백화점천호점,08:30~21:30,"시급8,800",8시간전
대구 동구, 살바토레쿠오모 신세계대구점,09:30~14:00,"시급8,350",08/30
서울 강남구, 폴바셋 NC타워삼성점,06:30~23:00,"시급8,800",08/29
서울 강남구, 폴바셋 NC타워삼성점,06:30~23:00,"시급8,800",08/25
서울 서초구, 폴바셋 뉴코아강남점,07:00~23:00,"시급8,800",08/25
서울 관악구, 폴바셋 NC타워삼성점,06:30~23:00,"시급8,800",08/22
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급8,800",08/22
서울 종로구, 폴바셋 종각역점,07:00~23:00,"시급8,800",08/22
서울 전체, 폴바셋 강남삼성타운점,06:30~23:00,"시급8,800",08/21
서울 서초구, 폴바셋 뉴코아강남점,07:00~23:00,"시급8,800",08/21
서울 송파구, 폴바셋 스타필드시티위례점,09:00~23:00,"시급8,800",08/19
경기 성남시, 폴바셋 AK플라자분당점,07:00~23:00,"시급8,800",08/19
서울 서초구, 폴바셋 강남GT타워점,07:00~23:00,"시급8,800",08/18
경기 성남시, 폴바셋 AK플라자분당점,07:00~23:00,"시급8,800",08/17
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급8,800",08/17
서울 서초구, 폴바셋 뉴코아강남점,07:00~23:00,"시급8,800",08/15
