place,title,time,pay,date
서울 금천구, 이랜드이츠,06:00~18:00,"시급8,590",08/27
울산 남구, 이랜드 외식 사업부,09:30~14:00,"시급8,590",08/25
울산 남구, 이랜드 외식 사업부,09:30~14:00,"시급8,590",08/24
부산 해운대, 로운 NC해운대점,16:30~21:30,"시급8,590",08/24
부산 해운대, 로운 NC해운대점,16:30~21:30,"시급8,590",08/22
부산 부산진, 이랜드 외식사업부,17:00~22:00,"시급8,590",08/22
서울 전체, 피자몰 뉴코아 강남점,17:00~22:00,"시급8,590",08/21
부산 부산진, 이랜드 외식사업부,17:00~22:00,"시급8,590",08/20
서울 전체, 피자몰 뉴코아 강남점,17:00~22:00,"시급8,590",08/18
울산 남구, 이랜드 외식 사업부,09:30~14:00,"시급8,590",08/18
부산 해운대, 로운 NC해운대점,16:30~21:30,"시급8,590",08/17
서울 금천구, 가산CK,09:00~18:00,"시급8,590",08/17
서울 전체, 피자몰 뉴코아 강남점,17:00~22:00,"시급8,590",08/16
