place,title,time,pay,date
서울 송파구, 장원교육 본사 한서연,10:00~20:00,"월급2,000,000",2시간전
경기 화성시, 장원교육 2동탄,10:00~10:00,"월급1,800,000",2시간전
서울 송파구, 장원교육 본사 한서연,10:00~20:00,"월급2,000,000",2시간전
서울 강동구, 장원교육 서울강동,10:00~21:00,"월급1,800,000",2시간전
대구 전체, 장원교육 수성,10:00~22:00,"월급1,800,000",3시간전
경기 안산시, 장원교육 안산상록,10:00~21:00,"월급1,800,000",3시간전
경기 안성시, 장원교육 안성,15:00~21:00,"월급1,800,000",3시간전
경기 안성시, 장원교육 안성,15:00~21:30,"월급1,700,000",3시간전
경기 성남시, 장원교육 분당남부,11:00~21:00,"월급1,500,000",4시간전
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,800,000",9시간전
대구 전체, 장원교육 수성,10:00~22:00,"월급1,800,000",08/30
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,800,000",08/30
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",08/29
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",08/29
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",08/29
부산 강서구, 장원교육 김해,14:00~21:00,"월급1,500,000",08/29
대구 전체, 장원교육 대구시지,10:00~21:00,"월급1,500,000",08/29
대구 동구, 장원교육 대구동구,15:00~21:30,"월급1,500,000",08/29
대구 동구, 장원교육 대구동구,15:00~21:30,"월급1,500,000",08/29
충북 청주시, 장원교육 청원,14:00~21:00,"월급1,800,000",08/29
경기 김포시, 장원교육 김포,10:00~20:00,"월급2,000,000",08/29
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",08/29
서울 서초구, 장원교육 서울서초,10:00~21:00,"연봉19,000,000",08/28
대구 달서구, 장원교육 월배,10:00~22:00,"월급1,500,000",08/28
대구 전체, 장원교육 수성,10:00~22:00,"월급1,800,000",08/28
대구 전체, 장원교육 수성,10:00~22:00,"월급1,800,000",08/28
대구 전체, 장원교육 수성,10:00~22:00,"월급1,800,000",08/28
충북 청주시, 장원교육 청주,14:00~22:00,"월급1,800,000",08/28
대전 대덕구, 장원교육 동대전,10:00~10:00,"월급1,800,000",08/28
경기 성남시, 장원교육 분당북부,10:00~20:00,"월급1,800,000",08/28
경기 수원시, 장원교육 수원장안,10:00~21:00,"월급2,000,000",08/28
인천 연수구, 장원교육 인천연수,10:00~20:00,"월급1,800,000",08/28
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",08/28
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",08/28
서울 광진구, 장원교육 서울동부,10:00~20:00,"연봉2,000,000",08/28
서울 강동구, 장원교육 서울강동,10:00~21:00,"월급1,800,000",08/28
서울 송파구, 장원교육 서울송파,10:00~20:00,"월급1,800,000",08/28
서울 송파구, 장원교육 서울송파,10:00~20:00,"연봉18,000,000",08/28
경남 김해시, 장원교육 김해장유,14:00~21:00,"연봉20,000,000",08/15
경남 김해시, 장원교육 김해장유,14:00~21:00,"연봉20,000,000",08/15
