place,title,time,pay,date
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"월급1,795,310",42분전
서울 강남구, 제이디스포츠패션코리아 파르나스몰점,13:00~22:00,"월급1,795,310",2시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"월급1,795,310",2시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"월급1,795,310",3시간전
서울 강남구, 제이디스포츠패션코리아 파르나스몰점,13:00~22:00,"월급1,795,310",4시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"월급1,795,310",08/30
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"월급1,795,310",08/30
울산 중구, 제이디스포츠패션코리아 울산성남점(직),14:00~22:00,"시급9,040",08/27
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),14:00~22:00,"시급9,040",08/27
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),10:30~22:00,"월급1,795,310",08/27
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),10:30~22:00,"월급1,795,310",08/27
경기 화성시, 제이디스포츠패션코리아 동탄센터포인트몰,14:00~21:30,"시급9,040",08/26
경기 화성시, 제이디스포츠패션코리아 동탄센터포인트몰,14:00~21:30,"시급9,040",08/26
경기 성남시, 제이디스포츠패션코리아 현대백화점판교점,12:30~20:00,"시급9,040",08/21
광주 동구, 제이디스포츠패션코리아 광주충장로점(직,14:30~22:00,"시급9,040",08/19
경기 성남시, 제이디스포츠패션코리아 현대백화점판교점,12:30~20:00,"시급9,040",08/19
경기 화성시, 제이디스포츠패션코리아 동탄센터포인트몰,12:30~21:30,"월급1,795,310",08/17
