place,title,time,pay,date
부산 전체, (주)지오다노,09:30~21:00,"월급1,800,000",54분전
부산 전체, (주)지오다노,09:30~21:00,"월급1,800,000",2시간전
부산 전체, (주)지오다노,09:30~21:00,"월급1,800,000",08/30
경기 용인시, (주)지오다노,09:30~21:00,"월급1,900,000",08/28
경기 용인시, (주)지오다노,09:30~21:00,"월급1,900,000",08/28
서울 서초구, (주)지오다노,09:30~22:00,"월급1,800,000",08/25
대전 유성구, (주)지오다노,10:00~22:00,"월급1,800,000",08/25
서울 전체, (주)지오다노강남,09:00~22:00,"월급1,800,000",08/23
서울 전체, (주)지오다노,09:30~22:00,"월급1,800,000",08/22
경기 전체, (주)지오다노,09:30~21:00,"연봉21,600,000",08/21
경기 용인시, (주)지오다노,09:30~21:00,"월급1,900,000",08/21
서울 전체, (주)지오다노,09:30~22:00,"월급1,800,000",08/17
경기 용인시, (주)지오다노,09:30~21:00,"월급1,900,000",08/15
경기 안성시, (주)지오다노,10:00~22:00,"월급1,800,000",08/15
경기 안성시, (주)지오다노,10:00~22:00,"월급1,800,000",08/15
경기 평택시, (주)지오다노,10:00~22:00,"월급1,800,000",08/15
경기 부천시, (주)지오다노,09:30~20:30,"월급1,800,000",08/15
