place,title,time,pay,date
서울 도봉구, 카페게이트 방학역점,15:00~22:00,"시급8,590",27분전
서울 도봉구, 카페게이트 방학역점,15:00~22:00,"시급8,590",27분전
서울 도봉구, 카페게이트 방학역점,15:00~22:00,"시급8,590",27분전
서울 도봉구, 카페게이트 방학역점,15:00~22:00,"시급8,590",27분전
경기 성남시, 카페게이트 판교하이펙스점,12:00~15:30,"시급8,590",29분전
경기 성남시, 카페게이트 판교하이펙스점,12:00~15:30,"시급8,590",29분전
인천 서구, 카페게이트 인천당하점,13:00~17:00,"시급8,590",2시간전
경기 남양주, 카페게이트 덕소삼거리,17:00~21:00,"시급8,590",2시간전
경기 남양주, 카페게이트 덕소삼거리,17:00~21:00,"시급8,590",3시간전
경기 남양주, 카페게이트 덕소삼거리,17:00~21:00,"시급8,590",3시간전
경기 남양주, 카페게이트 덕소삼거리,17:00~21:00,"시급8,590",3시간전
인천 서구, 카페게이트 청라더스페이스타워,08:00~13:00,"시급8,590",3시간전
인천 서구, 카페게이트 인천당하점,13:00~17:00,"시급8,590",5시간전
인천 서구, 카페게이트 인천당하점,08:00~13:00,"시급8,590",5시간전
서울 도봉구, 카페게이트 방학역점,15:00~22:00,"시급8,590",08/29
경기 성남시, 카페게이트 판교하이펙스점,12:00~15:30,"시급8,590",08/23
