place,title,time,pay,date
경기 성남시, 크리스피크림도넛  수원인계점,15:30~22:00,"시급8,590",1분전
서울 관악구, 크리스피크림도넛  사당점,16:00~24:00,"시급8,590",1분전
대구 수성구, 크리스피 크림 도넛 대구범어점,21:00~04:00,"시급8,590",2분전
경남 김해시, 크리스피 크림 도넛 김해봉황점,09:30~16:00,"시급8,590",3분전
부산 해운대, 크리스피 크림 도넛 김해봉황점,10:30~16:30,"시급8,590",40분전
서울 송파구, 크리스피크림도넛  잠실롯데월드몰점,14:00~21:00,"시급8,590",55분전
서울 송파구, 크리스피크림도넛  잠실롯데월드몰점,14:00~21:00,"시급8,590",56분전
경기 수원시, 크리스피크림도넛  수원인계점,13:00~17:30,"시급8,590",1시간전
경기 의정부, 크리스피크림도넛 강남역점,13:00~18:00,"시급8,590",1시간전
대구 수성구, 크리스피 크림 도넛 대구범어점,08:00~15:00,"시급8,590",1시간전
경기 부천시, 크리스피크림도넛 부천 커미서리,24:00~24:00,"시급8,590",2시간전
경기 남양주, 크리스피크림도넛  건대스타시티점,09:30~22:00,"시급8,590",2시간전
경기 남양주, 크리스피크림도넛  건대스타시티점,09:30~22:00,"시급8,590",2시간전
경기 남양주, 크리스피크림도넛  건대스타시티점,09:30~22:00,"시급8,590",2시간전
경기 부천시, 크리스피크림도넛 부천 커미서리,24:00~24:00,"시급8,590",2시간전
경기 구리시, 크리스피크림도넛  롯데구리점,09:00~14:30,"시급8,590",3시간전
대전 서구, 크리스피크림도넛 대전둔산점,09:30~23:00,"시급8,590",3시간전
광주 광산구, 크리스피크림도넛 광주첨단점,23:00~06:00,"시급8,590",3시간전
대전 서구, 크리스피크림도넛 대전둔산점,09:30~17:00,"시급8,590",3시간전
경기 광주시, 크리스피크림도넛  원주무실점,10:00~22:00,"시급8,590",3시간전
경기 광명시, 크리스피크림도넛  메세나폴리스점,09:30~22:00,"시급8,590",4시간전
경기 광명시, 크리스피크림도넛  메세나폴리스점,09:30~22:00,"시급8,590",4시간전
경기 수원시, 크리스피크림도넛  수원인계점,07:00~14:00,"시급8,590",5시간전
경기 성남시, 크리스피크림도넛  분당수내점,09:00~15:30,"시급8,590",6시간전
경기 수원시, 크리스피 크림 도넛 매송휴게소(하)점,07:00~20:00,"월급2,600,000",8시간전
경기 수원시, 크리스피 크림 도넛 매송휴게소(하)점,07:00~20:00,"월급2,600,000",8시간전
경기 화성시, 크리스피 크림 도넛 매송휴게소(하)점,07:00~20:00,"월급2,600,000",8시간전
경기 안산시, 크리스피 크림 도넛 매송휴게소(하)점,07:00~20:00,"월급2,600,000",8시간전
강원 원주시, 크리스피크림도넛 원주무실점,16:00~22:00,"시급8,690",8시간전
충남 보령시, 크리스피크림도넛 대전복합터미널점,12:00~21:00,"시급8,590",22시간전
충남 보령시, 크리스피크림도넛 대전복합터미널점,12:00~21:00,"시급8,590",22시간전
충남 보령시, 크리스피크림도넛 대전복합터미널점,12:00~21:00,"시급8,590",22시간전
경기 성남시, 크리스피크림도넛  수원인계점,15:30~22:00,"시급8,590",08/29
경북 포항시, 크리스피크림도넛 울산삼산점,09:30~16:00,"시급8,590",08/27
경북 포항시, 크리스피크림도넛  롯데포항점,15:00~20:00,"시급8,590",08/27
경기 화성시, 크리스피크림도넛 동탄메타폴리스점,13:00~18:00,"시급8,590",08/24
인천 부평구, 크리스피크림도넛  송내남부역점,11:00~21:00,"시급8,590",08/22
서울 송파구, 크리스피크림도넛  잠실롯데월드몰점,14:00~21:00,"시급8,590",08/18
서울 송파구, 크리스피크림도넛  잠실롯데월드몰점,14:00~21:00,"시급8,590",08/18
경기 성남시, 크리스피크림도넛  분당수내점,15:30~20:30,"시급8,590",08/16
