place,title,time,pay,date
인천 미추홀, 풀무원녹즙인천중구남구홈,00:00~03:00,"월급600,000",3분전
인천 미추홀, 풀무원녹즙인천중구남구홈,00:00~03:00,"월급600,000",6분전
대구 달서구, 풀무원녹즙달서홈가맹점,01:00~07:00,"월급600,000",12분전
경북 경산시, 풀무원건강생활 경산가맹점,08:00~12:00,"월급1,000,000",17분전
경북 청도군, 풀무원건강생활,08:00~12:00,"월급1,000,000",19분전
충남 천안시, 풀무원녹즙천안서북구가맹점,07:20~11:20,"월급1,000,000",30분전
충남 천안시, 풀무원녹즙천안서북구가맹점,07:20~11:20,"월급1,000,000",30분전
서울 중구, 풀무원 녹즙 종로중구홈 가맹점,01:00~05:00,"월급1,050,000",30분전
인천 계양구," 풀무원건강생활 계양,서구특판가맹점",08:00~11:00,"월급700,000",34분전
서울 중구, 풀무원 녹즙 종로중구홈 가맹점,01:00~04:40,"월급900,000",35분전
인천 서구, 풀무원건강생활 서인천가맹점,08:00~11:00,"월급700,000",42분전
서울 강남구, 풀무원 녹즙 논현 남부 오피스,07:00~11:40,"월급1,500,000",46분전
서울 전체, 풀무원녹즙광명홈가맹점,24:00~02:30,"월급700,000",48분전
경남 양산시, 양산대리점,08:00~12:00,"월급1,000,000",48분전
서울 강동구, 풀무원녹즙,00:00~03:00,"월급650,000",55분전
서울 송파구, 풀무원녹즙,00:00~03:00,"월급650,000",55분전
경기 화성시, 화성서부가맹점,24:00~06:00,"월급700,000",58분전
광주 북구, 광주북구북부오피스 풀무원녹즙가맹점,07:00~11:00,"월급1,500,000",1시간전
서울 종로구, 풀무원 녹즙 종로중구홈 가맹점,01:30~07:00,"월급1,700,000",1시간전
경기 용인시, 풀무원녹즙수지동부가맹점,07:30~11:00,"월급1,000,000",1시간전
경기 고양시, 일산서부오피스가맹점,08:00~11:00,"건별700,000",1시간전
경기 고양시, 일산서부오피스가맹점,08:00~11:00,"건별700,000",1시간전
경기 고양시, 일산서부오피스가맹점,08:00~11:00,"건별700,000",1시간전
경기 고양시, 일산서부오피스가맹점,08:00~11:00,"건별700,000",1시간전
경기 고양시, 일산서부오피스가맹점,08:00~11:00,"건별700,000",2시간전
대구 달성군, 풀무원 녹즙 건강한하루 녹즙,05:00~08:00,"건별650,000",2시간전
대구 달성군, 풀무원 녹즙 건강한하루 녹즙,05:00~08:00,"건별650,000",2시간전
경기 동두천, 진솔유통,07:00~11:00,"월급1,000,000",2시간전
광주 남구, 풀무원녹즙내방/쌍촌/화정/농성,07:30~11:30,"시급10,000",2시간전
광주 서구, 풀무원녹즙내방/쌍촌/화정/농성,07:00~12:00,"시급10,000",2시간전
광주 동구, 풀무원녹즙내방/쌍촌/화정/농성,07:00~11:30,"시급10,000",2시간전
서울 강남구, 풀무원녹즙 청담오피스가맹점,07:30~11:30,"월급1,000,000",2시간전
울산 남구, 새싹녹즙,07:00~10:30,"월급800,000",2시간전
울산 남구, 새싹녹즙,07:00~10:30,"월급800,000",2시간전
서울 서초구, 인플러스G,07:30~11:30,"월급1,000,000",2시간전
울산 남구, 새싹녹즙,07:00~10:30,"월급800,000",2시간전
경기 전체, 풀무원 건강생활 성남홈 가맹점,23:00~05:00,"월급850,000",2시간전
전북 전주시, 풀무원녹즙 전주덕진오피스,08:00~10:00,"월급1,000,000",3시간전
경기 파주시, 풀무원,12:00~03:00,"월급700,000",3시간전
서울 양천구, 풀무원녹즙양천홈가맹점,23:00~07:00,"월급750,000",3시간전
