place,title,time,pay,date
경기 안양시, 한경기획 청년다방 안양일번가점,17:00~21:30,"시급8,590",7분전
경기 안양시, 한경기획 청년다방 안양예술공원점,11:00~21:00,"시급8,590",10분전
경기 안양시, 한경기획 청년다방 안양예술공원점,16:00~21:00,"시급8,590",15분전
경남 양산시, 한경기획 은화수식당 양산범어점,17:30~21:30,"시급8,590",18분전
경북 경주시, 한경기획 은화수식당 경주황성점,17:00~21:00,"시급8,590",46분전
대전 유성구, 한경기획 청년다방 대전궁동점,10:30~22:00,"월급2,400,000",1시간전
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:30,"월급2,500,000",3시간전
충북 청주시, 한경기획 청년다방 청주지웰시티점,10:00~22:00,"시급8,590",5시간전
부산 해운대, 한경기획 청년다방 장산점,17:00~23:00,"월급1,200,000",6시간전
충북 청주시, 한경기획 청년다방 청주지웰시티점,10:00~22:00,"시급8,590",6시간전
경기 화성시, 화성남양점,11:00~20:00,"시급8,590",7시간전
대전 중구, 한경기획 청년다방 대전은행점,10:30~22:00,"월급2,400,000",7시간전
충북 청주시, 한경기획 청년다방 청주지웰시티점,10:00~22:00,"시급8,590",08/30
경기 남양주, 한경기획 청년다방 호평점,18:00~22:00,"시급8,600",08/29
경기 남양주, 한경기획 청년다방 호평점,11:00~15:00,"시급8,600",08/29
경기 남양주, 한경기획 청년다방 호평점,11:00~15:00,"시급8,600",08/29
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~00:00,"시급8,590",08/29
경기 안양시, 한경기획 청년다방 안양일번가점,17:00~21:30,"시급8,590",08/29
부산 해운대, 한경기획 청년다방 장산점,11:00~15:00,"시급8,590",08/29
전남 여수시, 한경기획 청년다방 여수학동점,17:00~22:00,"시급8,590",08/29
경기 시흥시, 한경기획 청년다방 시흥능곡역점,11:00~15:00,"시급10,000",08/28
전남 여수시, 한경기획 청년다방 여수학동점,10:30~16:30,"월급1,400,000",08/28
경기 이천시, 한경기획 청년다방 이천창전점,10:00~16:00,"시급9,000",08/28
인천 부평구, 한경기획 청년다방 인천삼산점,10:00~22:00,"월급2,100,000",08/27
충남 아산시, 한경기획 은화수식당 아산점,10:30~21:00,"시급8,590",08/26
서울 구로구, 한경기획 청년다방 동양미래대점,10:30~22:00,"월급2,300,000",08/26
인천 부평구, 한경기획 청년다방 부평역점,11:00~22:00,"월급2,550,000",08/26
충남 아산시, 한경기획 은화수식당 아산점,10:30~21:00,"시급8,590",08/26
충남 논산시, 한경기획 청년다방 논산오거리점,17:30~21:30,"시급8,600",08/24
부산 부산진, 한경기획 은화수식당 전포본점(직),11:00~22:00,"시급8,590",08/24
경기 화성시, 한경기획 청년다방 동탄2신도시점,10:00~22:00,"월급2,300,000",08/23
경기 화성시, 한경기획 청년다방 동탄2신도시점,10:00~22:00,"월급2,300,000",08/23
경기 성남시, 한경기획 청년다방 위례신도시점,17:00~22:00,"시급8,590",08/22
부산 해운대, 한경기획 청년다방 장산점,18:00~23:00,"시급8,590",08/21
충북 청주시, 한경기획 청년다방 청주지웰시티점,10:00~22:00,"시급8,590",08/21
경북 경주시, 한경기획 은화수식당 경주황성점,11:30~14:00,"시급8,590",08/21
경북 구미시, 한경기획 청년다방 구미원평점,10:30~22:00,"월급2,400,000",08/20
경기 안산시, 한경기획 청년다방 안산고잔점,10:00~22:00,"시급8,590",08/20
경기 평택시, 한경기획 평택고덕신도시점,11:00~22:00,"시급9,000",08/20
대구 북구, 한경기획 청년다방 칠곡3지구점,17:00~23:00,"시급8,590",08/17
