place,title,time,pay,date
서울 종로구, 할리스커피 종로5가점,14:00~22:00,"월급1,850,000",28분전
서울 송파구, 할리스커피 아시아선수촌점,13:00~19:00,"시급8,590",2시간전
전북 익산시, 할리스커피 익산부송점,03:00~24:00,"월급1,800,000",3시간전
전북 부안군, 할리스커피 전북부안점,12:00~17:00,"시급8,590",3시간전
광주 북구, 할리스커피 광주오치점,19:30~24:00,"시급8,590",4시간전
경기 화성시, 할리스커피 봉담원희캐슬점,11:30~14:00,"시급8,590",19시간전
부산 남구, 할리스커피 부산대연점,19:00~23:00,"시급8,590",23시간전
서울 마포구, 할리스커피 홍대출판사거리점,16:00~23:00,"시급8,590",08/30
서울 마포구, 할리스커피 홍대출판사거리점,16:00~23:00,"시급8,590",08/30
인천 남동구, 할리스커피 인천소래역점,15:00~24:00,"시급8,590",08/30
대전 유성구, 할리스커피 대전유성온천점,14:00~17:00,"시급8,590",08/30
충남 당진시, 할리스커피 할리스에프엔비,11:30~15:30,"시급8,590",08/30
서울 송파구, 할리스커피 아시아선수촌점,13:00~19:00,"시급8,590",08/30
경기 수원시, 할리스커피 광교호수점,19:00~23:00,"시급8,590",08/29
경기 하남시, 할리스커피 하남덕풍점,12:30~15:30,"시급8,590",08/29
대전 유성구, 할리스커피 대전도안마을점,09:00~22:00,"월급1,795,310",08/29
대구 달서구, 할리스커피 대구상인점,19:00~23:30,"시급8,590",08/28
경기 수원시, 할리스커피 아주대점,21:00~24:00,"시급8,590",08/28
인천 미추홀, 할리스커피 인천주안역점,12:00~18:00,"시급8,590",08/27
전북 부안군, 할리스커피 부안격포채석강점,10:30~22:00,"시급8,590",08/26
대전 유성구, 할리스커피 대전도안DT점,07:00~10:00,"시급8,590",08/26
부산 부산진, 할리스커피 부산서면본점,23:00~06:00,"시급8,590",08/25
경기 부천시, 할리스커피 할리스에프엔비,08:00~23:00,"시급8,590",08/25
충북 청주시, 할리스커피 청주동남점,00:00~24:00,"월급1,800,000",08/24
경남 창원시, 할리스커피 창원귀산점,18:00~02:00,"월급2,200,000",08/24
인천 미추홀, 할리스커피 인천주안역점,12:00~18:00,"시급8,590",08/24
경남 양산시, 할리스커피 양산석산점,12:30~16:30,"시급8,590",08/24
전북 익산시, 할리스커피 익산어양점,12:30~17:00,"시급8,590",08/24
경남 창원시, 할리스커피 마산터미널점,18:00~22:30,"시급8,590",08/23
대전 서구, 할리스커피 대전만년점,18:00~22:00,"시급8,590",08/23
세종 가람동, 할리스커피 세종가람DT점,13:00~17:00,"시급8,590",08/23
세종 가람동, 할리스커피 세종가람DT점,13:00~17:00,"시급8,590",08/22
대전 유성구, 할리스커피 대전신성점,11:00~16:00,"시급8,590",08/20
서울 중구, 할리스커피 태평로점,20:00~23:00,"시급8,590",08/20
경기 양주시, 할리스커피 양주고읍점,14:00~17:00,"시급8,590",08/18
광주 북구, 할리스커피 광주문흥점,12:00~16:00,"시급8,590",08/18
대구 동구, 할리스커피 대구안심점,10:00~10:30,"월급1,900,000",08/17
경기 안산시, 할리스커피 안산선부점,12:00~14:00,"시급8,590",08/17
서울 성동구, 할리스커피 한양대시티빌점,10:00~23:00,"시급8,590",08/16
