place,title,time,pay,date
인천 연수구, 호식이두마리치킨 옥련1호점,13:00~01:00,"월급2,700,000",2시간전
부산 부산진, 호식이두마리치킨 연지초읍점,16:00~20:00,"시급9,000",2시간전
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급8,590",3시간전
경기 파주시, 호식이두마리치킨 문산점,18:00~22:00,"시급9,000",3시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급10,000",4시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급10,000",4시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급10,000",4시간전
대구 달서구, 호식이두마리치킨 성서1호점,17:00~23:00,"시급9,000",4시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",5시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",5시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",5시간전
제주 제주시, 호식이두마리치킨 삼무점,18:00~00:00,"시급8,600",5시간전
인천 서구, 호식이두마리치킨 석남점,18:00~22:00,"시급8,590",8시간전
서울 영등포, 호식이두마리치킨 신길1호점,11:00~18:00,"시급10,000",16시간전
충남 아산시, 호식이두마리치킨 배방점,17:00~24:00,"시급8,590",18시간전
충남 아산시, 호식이두마리치킨 배방점,17:00~24:00,"시급10,000",18시간전
대전 중구, 호식이두마리치킨 산성점,06:00~09:30,"시급9,000",23시간전
부산 사하구, 호식이두마리치킨 괴정점,17:00~22:00,"시급10,000",08/30
제주 제주시, 호식이두마리치킨 이도초교점,18:00~22:00,"시급9,000",08/30
서울 영등포, 호식이두마리치킨 신길1호점,10:00~22:00,"월급2,700,000",08/30
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급8,590",08/29
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"시급10,500",08/29
서울 영등포, 호식이두마리치킨 신길1호점,18:00~02:00,"월급1,800,000",08/29
서울 노원구, 호식이두마리치킨 수락산점,16:00~24:00,"시급9,000",08/28
부산 남구, 호식이두마리치킨 용호점,17:00~21:00,"시급8,590",08/28
부산 남구, 호식이두마리치킨 용호점,17:00~21:00,"시급8,590",08/28
전남 영암군, 호식이두마리치킨 대불점,11:00~24:00,"일급100,000",08/27
부산 동래구, 호식이두마리치킨 사직점,17:00~22:00,"시급9,000",08/26
경기 남양주, 호식이두마리치킨 남양주 오남점,18:00~24:00,"시급8,590",08/25
부산 남구, 호식이두마리치킨 용호점,17:00~21:00,"시급8,590",08/25
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"월급1,800,000",08/25
대구 동구, 호식이두마리치킨 방촌점,17:00~22:00,"시급8,590",08/24
경기 평택시, 호식이두마리치킨 비전점,12:00~12:00,"시급8,600",08/24
인천 서구, 호식이두마리치킨 인천연희점,18:00~24:00,"시급8,590",08/24
인천 서구, 호식이두마리치킨 인천연희점,18:00~12:00,"시급8,590",08/24
제주 제주시, 호식이두마리치킨 아라점,16:00~01:00,"시급8,600",08/23
경남 김해시, 호식이두마리치킨 어방점,16:00~24:00,"월급1,800,000",08/18
강원 원주시, 호식이두마리치킨 원주2호점,18:00~23:00,"시급10,000",08/16
부산 사하구, 호식이두마리치킨 신평점,18:00~22:00,"시급9,000",08/16
