place,title,time,pay,date
인천 부평구, 호치킨 산곡점,17:30~24:30,"시급8,800",53분전
인천 부평구, 호치킨 산곡점,17:30~24:30,"시급8,800",3시간전
인천 부평구, 호치킨 산곡점,17:30~24:30,"시급8,800",6시간전
서울 노원구, 호치킨 노원역점,15:00~03:00,"월급2,200,000",9시간전
경기 의정부, 호치킨 회룡역점,16:00~01:00,"월급1,950,000",08/30
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,600",08/29
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,600",08/29
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,600",08/29
서울 전체, 호치킨 전농점,18:00~01:00,"시급9,000",08/28
서울 전체, 호치킨 전농점,18:00~01:00,"시급9,000",08/28
인천 남동구, 호치킨 관교점,19:00~10:00,"시급8,590",08/28
서울 양천구, 호치킨 신월1호점,19:00~01:00,"시급8,590",08/28
서울 중랑구, 호치킨 상봉역점,16:00~04:00,"월급2,300,000",08/27
서울 양천구, 호치킨 신월1호점,19:00~01:00,"시급8,590",08/26
서울 동작구, 호치킨 신대방삼거리역1번출구점(현-2,18:00~24:00,"시급9,500",08/26
서울 노원구, 호치킨 노원역점,15:00~03:00,"월급2,200,000",08/26
서울 강서구, 호치킨 강서하이웨이점,18:30~24:30,"시급9,000",08/25
서울 강서구, 호치킨 강서하이웨이점,18:30~24:30,"시급9,000",08/25
경기 시흥시, 호치킨 시흥목감역점,06:00~11:00,"시급8,600",08/25
경기 시흥시, 호치킨 시흥목감역점,06:00~11:00,"시급8,600",08/25
서울 양천구, 호치킨 신월1호점,19:00~01:00,"시급8,590",08/25
서울 양천구, 호치킨 신월1호점,19:00~01:00,"시급8,590",08/24
인천 남동구, 호치킨 서창2지구점(현-2),12:00~24:00,"시급10,000",08/23
서울 마포구, 호치킨 용강점,18:00~00:00,"시급9,000",08/23
인천 남동구, 호치킨 인천만수동점,18:00~02:00,"시급10,308",08/22
경기 고양시, 호치킨 일산후곡마을점,18:00~24:00,"시급8,600",08/22
경기 의정부, 호치킨 회룡역점,18:00~01:00,"시급10,308",08/22
경기 의정부, 호치킨 회룡역점,18:00~01:00,"시급10,308",08/22
경기 안산시, 호치킨 초지태영프라자점-1,17:30~00:30,"시급8,600",08/21
경기 안산시, 호치킨 초지태영프라자점-1,17:30~00:30,"시급8,600",08/21
경기 안산시, 호치킨 초지태영프라자점-1,17:30~00:30,"시급8,600",08/19
경기 안산시, 호치킨 초지태영프라자점-1,17:30~00:30,"시급8,600",08/18
서울 동작구, 호치킨 신대방삼거리역1번출구점(현-2,12:00~00:00,"월급2,500,000",08/18
경기 안산시, 호치킨 초지태영프라자점-1,17:30~00:30,"시급8,600",08/17
경기 수원시, 호치킨 광교중흥어뮤즈점,18:00~23:00,"시급8,590",08/17
경기 수원시, 호치킨 광교중흥어뮤즈점,17:00~24:00,"시급8,590",08/17
서울 동작구, 호치킨 신대방삼거리역1번출구점(현-2,18:00~24:00,"시급8,590",08/16
서울 동작구, 호치킨 신대방삼거리역1번출구점(현-2,18:00~24:00,"시급8,590",08/16
서울 동작구, 호치킨 신대방삼거리역1번출구점(현-2,18:00~24:00,"시급8,590",08/16
인천 서구, 호치킨 인천 원당점,21:00~24:00,"시급8,590",08/16
