place,title,time,pay,date
경기 용인시, 홈플러스 익스프레스 용인풍덕천점,17:00~24:00,"시급8,590",25분전
경기 고양시, 홈플러스 익스프레스 후곡점,14:00~20:00,"시급8,590",57분전
인천 남동구, 홈플러스 익스프레스 인천한화점,12:00~18:00,"시급8,590",1시간전
경기 용인시, 홈플러스 익스프레스 용인서천점,17:00~24:00,"시급8,590",2시간전
경기 수원시, 홈플러스 익스프레스 수원영통점,08:00~13:00,"월급1,348,630",2시간전
경기 군포시, 홈플러스 익스프레스 군포오금점,08:00~13:00,"시급8,590",2시간전
부산 전체, 홈플러스 익스프레스 모라점,09:00~16:00,"월급1,614,920",2시간전
인천 남동구, 홈플러스 익스프레스 인천한화점,12:00~18:00,"시급8,590",2시간전
경기 성남시, 홈플러스 익스프레스 분당점,15:00~21:00,"월급1,348,630",3시간전
경남 창원시, 홈플러스 익스프레스 마산월영점,13:00~24:00,"월급1,348,630",4시간전
경기 부천시, 홈플러스 익스프레스 중동점,13:00~18:00,"월급1,073,750",4시간전
서울 성북구, 홈플러스 익스프레스 길음점,13:00~19:00,"시급8,590",5시간전
부산 사하구, 홈플러스 익스프레스 다대포점,08:00~24:00,"시급8,590",6시간전
서울 은평구, 홈플러스 익스프레스 응암점,14:00~20:00,"월급1,348,630",6시간전
경기 용인시, 홈플러스 익스프레스 용인서천점,17:00~24:00,"시급8,590",6시간전
부산 해운대, 홈플러스 익스프레스 부산센텀점,08:00~14:00,"월급1,348,630",7시간전
경기 의왕시, 홈플러스 익스프레스 의왕포일점,18:00~22:00,"시급8,590",08/29
경기 성남시, 홈플러스 익스프레스 수진점,10:00~17:00,"시급8,590",08/29
경기 용인시, 홈플러스 익스프레스 용인보정2점,10:00~16:30,"월급1,073,750",08/29
경남 진주시, 홈플러스 익스프레스 신안점,17:00~24:00,"시급8,590",08/29
경기 성남시, 홈플러스 익스프레스 분당서판교점,11:00~17:00,"월급1,348,630",08/28
서울 광진구, 홈플러스 익스프레스 중곡점,16:00~22:00,"월급1,348,630",08/28
경기 파주시, 홈플러스 익스프레스 파주와동점,16:00~22:00,"시급8,590",08/26
경기 고양시, 홈플러스 익스프레스 후곡점,14:00~20:00,"시급8,590",08/25
서울 마포구, 홈플러스 익스프레스 도화점,17:00~24:00,"월급1,614,920",08/25
경기 군포시, 홈플러스 익스프레스 군포부곡점,17:00~24:00,"시급8,590",08/24
경남 진주시, 홈플러스 익스프레스 신안점,17:00~24:00,"시급8,590",08/24
경기 시흥시, 홈플러스 익스프레스 능곡점,07:30~14:30,"월급1,614,920",08/24
경기 광명시, 홈플러스 익스프레스 광명점,17:00~23:00,"시급8,590",08/22
서울 성동구, 홈플러스 익스프레스 옥수점,15:00~21:00,"월급1,348,630",08/21
경기 고양시, 홈플러스 익스프레스 고양중산점,17:00~24:00,"시급8,590",08/21
경기 성남시, 홈플러스 익스프레스 분당정자점,18:00~24:00,"시급8,590",08/20
경기 군포시, 홈플러스 익스프레스 군포오금점,08:00~14:00,"시급8,590",08/18
