place,title,time,pay,date
경북 김천시, 홍선생미술 김천 지사,15:00~20:00,"시급18,750",08/15
경기 양주시, 홍선생미술 양주지사,15:00~20:00,"시급18,750",08/15
서울 동대문, 홍선생미술 동대문/중랑지사,15:00~20:00,"시급18,750",08/15
경기 고양시, 홍선생미술 일산 서구지사,15:00~20:00,"시급18,750",08/15
경기 용인시, 홍선생미술 용인 기흥지사,15:00~20:00,"시급18,750",08/15
경기 용인시, 홍선생미술 용인 기흥지사,15:00~20:00,"시급18,750",08/15
울산 남구, 홍선생미술 울산 남구지사,15:00~20:00,"시급18,750",08/15
세종 전체, 홍선생미술 세종지사,15:00~20:00,"시급18,750",08/15
경기 파주시, 홍선생미술 파주지사,15:00~20:00,"시급18,750",08/15
서울 송파구, 홍선생미술 송파지사,15:00~20:00,"시급18,750",08/15
경기 성남시, 홍선생미술 판교서현지사,15:00~20:00,"시급18,750",08/15
경기 고양시, 홍선생미술 덕양지사,15:00~20:00,"시급18,750",08/15
부산 사하구, 홍선생미술 부산 사하서구지사,15:00~20:00,"시급18,750",08/15
부산 서구, 홍선생미술 부산 사하서구지사,15:00~20:00,"시급18,750",08/15
인천 미추홀, 홍선생미술 미추홀지사,15:00~20:00,"시급18,750",08/15
경기 성남시, 홍선생미술 성남지사,15:00~20:00,"시급18,750",08/15
대전 서구, 홍선생미술 대전지사,15:00~20:00,"시급18,750",08/15
경기 안산시, 홍선생미술 시흥안산지사,15:00~20:00,"시급18,750",08/15
경기 시흥시, 홍선생미술 시흥안산지사,15:00~20:00,"시급18,750",08/15
경기 안산시, 홍선생미술 시흥안산지사,15:00~20:00,"시급18,750",08/15
서울 서대문, 홍선생미술 서대문지사,15:00~20:00,"시급18,750",08/15
대구 북구, 홍선생미술 대구 북구지사,15:00~20:00,"시급18,750",08/15
충남 공주시, 홍선생미술 공주지사,15:00~20:00,"시급18,750",08/15
경북 상주시, 홍선생미술 상주문경지사,15:00~20:00,"시급18,750",08/15
경기 양주시, 홍선생미술 양주지사,15:00~20:00,"시급18,750",08/15
대전 유성구, 홍선생미술 대전지사,15:00~20:00,"시급18,750",08/15
경기 평택시, 홍선생미술 평택지사,15:00~20:00,"시급18,750",08/15
부산 동래구, 홍선생미술 부산 동래지사,15:00~20:00,"시급18,750",08/15
대구 달서구, 홍선생미술 대구 달서지사,15:00~20:00,"시급18,750",08/15
서울 영등포, 홍선생미술 여의도영등포지사,15:00~20:00,"시급18,750",08/15
서울 영등포, 홍선생미술 여의도영등포지사,15:00~20:00,"시급18,750",08/15
대구 달서구, 홍선생미술 대구 달서지사,15:00~20:00,"시급18,750",08/15
부산 동래구, 홍선생미술 부산 동래지사,15:00~20:00,"시급18,750",08/15
경기 평택시, 홍선생미술 평택지사,15:00~20:00,"시급18,750",08/15
대전 유성구, 홍선생미술 대전지사,15:00~20:00,"시급18,750",08/15
경기 양주시, 홍선생미술 양주지사,15:00~20:00,"시급18,750",08/15
경북 상주시, 홍선생미술 상주문경지사,15:00~20:00,"시급18,750",08/15
충남 공주시, 홍선생미술 공주지사,15:00~20:00,"시급18,750",08/15
대구 북구, 홍선생미술 대구 북구지사,15:00~20:00,"시급18,750",08/15
서울 서대문, 홍선생미술 서대문지사,15:00~20:00,"시급18,750",08/15
